CZ;L_manuf
11101;20674
11001;26165
10301;5485
10801;18694
10700;41633
9800;7018
9600;33660
6600;51352
10802;4105
9500;11914
10302;9494
6200;15100
11002;2980
11102;5777
6100;27899
10600;9057
6000;37313
10501;5348
9701;13729
34101;1750
34114;3283
34102;4608
34112;80
34104;375
34107;192
34115;723
34109;350
34111;566
34108;1775
34106;70
34113;20
34110;571
34103;275
35500;1534
35100;33021
35401;8787
35001;98815
35002;285
38300;622530
37901;23087
38100;7455
4301;4750
4101;3482
25101;3896
30300;30580
25103;6995
4102;8962
4103;6393
34001;14036
25900;14858
25104;1729
4001;2831
4200;23177
30100;24451
5300;3782
30000;12942
25102;4883
25105;4575
4302;4308
33500;16781
25800;6800
34002;7069
37800;130090
37400;58245
37300;7881
36901;705
37200;43418
36700;2687
37903;415
37100;12144
37700;21410
36501;2407
37000;30989
37500;102671
37603;670
38000;94733
38200;18968
36600;4099
28900;73648
34805;468
35300;2522
28501;20
28502;5904
28701;270
28401;12122
35201;4978
35402;756
28702;1160
28703;190
35202;151
28503;158
28704;555
28504;150
28800;24920
28402;20
28301;860
36401;395
28302;525
20901;160972
19901;20053
19800;19034
11304;52351
7900;5086
7600;27292
10000;3804
7300;19918
7000;21554
9900;5884
6900;16442
7800;6022
7200;7403
7700;6025
10900;7285
7500;11328
7100;18813
6800;16022
6700;51217
7400;40230
9001;6399
8601;6412
9002;3832
9400;27079
9301;8294
8501;1905
8503;10794
8900;13535
8602;2637
8800;18150
8702;5100
8401;25738
9200;5934
6401;36120
9100;105365
8502;2115
10101;1505
10200;8537
9302;7297
8701;4590
6501;2795
10102;4132
8402;1444
9003;4152
9702;3455
1201;1332
1204;1875
35600;1368
34701;9797
34702;313
34703;1185
35801;28139
35803;220
36301;10907
36403;940
38601;22179
35701;5665
34501;345
35702;2430
38401;5439
36302;140
36200;20686
38402;2373
35802;2392
36303;604
25000;8949
25601;7955
24900;17260
24400;49438
24801;4754
23900;28418
23500;21561
24802;5606
23301;6768
23302;9760
25500;10659
24300;348146
23400;9589
14801;3806
23700;5415
25602;695
23600;12333
23801;25060
24200;6352
23200;13503
14802;2465
25401;8804
24701;91852
14500;34291
14700;38678
14100;56283
14300;19691
14000;17869
14200;69588
13900;18254
13101;61212
14400;21565
14600;17099
12800;9070
13700;73962
12600;7015
13800;18972
14900;41219
13102;4866
13600;40546
27501;24318
28201;3033
26106;1565
27503;1717
22200;21893
22001;20123
27401;5388
27402;6703
27504;4647
22100;15651
21801;7441
21802;6481
27502;3135
27301;4940
23802;5564
22300;15554
27302;4304
22002;1437
28202;34608
21900;11500
27201;7224
28001;16147
27202;6517
29401;3509
29501;2470
29001;250
29004;1892
29901;21842
29201;1516
29301;47401
29402;3033
29303;3927
28606;70
29003;8357
29203;5017
29101;635
29002;70
28601;60
29503;14231
29204;11625
29006;1164
29005;5086
31001;4311
28604;370
29007;210
31002;220
29302;8537
29502;79450
29403;9925
29008;70
29104;7088
29202;1410
31004;4000
29103;535
31006;1906
28602;255
28603;375
31003;140
28605;90
4601;4704
5401;15597
12901;33329
5402;8309
12902;4524
301;3395
12701;102000
17100;14037
12903;5210
12702;2638
4501;415
13000;7981
13200;13062
25200;10236
25402;3604
5900;12364
4401;6276
4602;8441
4402;4790
17000;1506
25300;9484
4502;525
13103;7586
3800;20663
3700;11212
3500;27945
3400;12316
3600;4886
4002;16151
3901;9434
3201;160
3202;735
3902;230
4003;2973
3300;33912
3203;3278
4004;1068
20100;31197
20003;4017
20001;11124
20002;999
20600;64230
17501;9450
11302;59490
19902;8647
17400;21188
20500;167242
20902;8344
20401;70269
20403;240
20800;28508
20402;100
12401;2974
11401;5096
12200;118403
12301;6474
11900;25429
21002;1476
12100;33507
12302;4020
11403;958
11800;6473
11700;18883
12402;3608
11402;10708
11600;218564
21003;1220
11500;16964
12001;9906
12002;3009
13501;51249
21600;4871
21501;170646
26701;4912
21400;21106
26601;735
21301;14251
26002;8485
27101;6164
26801;11913
26003;90
21701;16728
26901;8979
21702;7434
22900;14674
21502;1160
26702;1495
26004;1049
26001;6185
27102;3615
21201;8991
26703;1185
26902;4036
26704;4665
21202;1975
21302;12704
22800;27671
5100;10207
3101;4381
3001;1255
5201;4158
4800;3354
5000;25909
4701;5504
10502;4378
10400;5963
4702;5182
3003;25567
2900;7597
5202;35474
2700;26551
3002;1380
2800;9365
3102;2116
26107;1140
29505;2115
24702;2519
29800;7751
29902;2544
29504;6268
25701;13410
29601;11800
25702;4413
29602;2388
26102;2775
26103;1380
29700;22797
24500;2587
29506;315
26104;670
24600;8693
26101;2389
26105;1910
34401;150
34304;486
34201;100
34403;1421
34308;4353
26401;20
34203;1329
34305;150
26405;10
26409;90
34404;1122
26402;30
34204;545
34503;3685
34402;3500
34306;10
34202;160
34502;257
26406;20
34309;40
34504;2885
26408;90
34307;40
26411;920
26407;30
27901;2991
27801;4797
28304;90
27802;8482
27701;1663
27001;300
27003;90
28608;4329
28002;781
27005;3800
28607;565
27702;2469
28305;555
28609;5582
27902;1139
28101;18227
28303;10
27002;300
27903;9271
28102;3445
28306;430
29102;525
27704;60
37604;19996
37601;330
37602;565
37902;10
20700;7501
20301;4418
20302;16404
19700;173291
19600;186311
19500;14116
34901;17012
34902;200
30701;2950
34801;272
30901;3108
30702;30
30601;17407
30604;1051
30801;1183
30602;430
34802;1628
34803;90
30603;160
34804;20
18600;32260
18201;12765
19400;160066
17900;10915
17700;46852
16500;53832
18100;19781
17800;8458
18400;5190
19300;23510
18000;120132
18500;6446
18300;6177
500;83000
1100;43081
602;2995
900;65437
601;5950
1001;2057
2100;7010
2600;7040
1500;20967
1203;20441
1002;13889
2000;23860
1900;14911
1701;60947
800;25850
1400;26970
401;24473
1800;14970
1600;18132
1202;1145
700;31551
1702;2385
26404;120
26803;1672
26301;545
26410;1767
26304;1343
26403;60
26201;2066
26802;2600
26412;344
26302;415
26203;160
26202;90
26804;160
26204;30
26305;270
26303;365
13400;27025
16000;25060
15200;145269
15800;2333
15600;5667
15000;51969
12501;74263
12502;7029
16400;41619
13502;10729
15900;66676
15100;27439
15400;7957
13300;26224
15700;12297
15500;7265
15300;12071
30200;5913
30502;3777
33901;1787
33801;1950
33902;9359
33802;1830
33803;34756
33700;6588
33601;6026
30402;56048
30501;529
33602;1290
30401;3936
30403;1800
33603;405
39201;1910
38901;40165
38801;90410
38700;11324
36902;6278
39203;5716
39204;10
39205;90
36502;40
38802;2417
36800;7866
36503;190
38902;2258
39100;14282
39202;164
19200;65167
16300;102614
16200;18716
19100;85543
18900;18366
18202;8325
19000;30473
16100;14118
18800;41356
18700;10807
8300;63963
8201;4521
8202;23673
8100;37856
1301;6935
8000;10518
1302;22670
27006;2269
27007;2755
26501;4905
26605;3291
27009;50
27601;3749
26604;160
27008;572
26504;4607
26503;14646
26602;1010
27602;30
27004;210
27603;100
27010;110
27011;160
26502;850
27012;90
27605;20
302;36701
5700;13202
5800;8598
6402;6897
6502;18744
5600;55713
100;50390
4901;14015
200;15571
4903;2615
6301;8398
4902;7559
5500;10174
6302;6864
33300;15668
31401;7069
32201;6600
31700;10876
32601;5185
31301;44933
32000;193120
30902;1235
31201;39491
32603;90
31302;370
32900;6968
32801;16186
31900;13975
31800;7488
31404;170
30906;130
32701;3004
31202;1165
31101;9403
32501;3949
31600;11559
30904;3031
32502;20
30802;5863
32301;3756
33100;142841
30905;40
31102;2771
32702;3230
32302;1135
31403;60
30605;10
31007;4345
32401;838
30903;10382
33200;12517
31501;425
32402;895
30908;2885
32604;1215
32802;4884
31502;100
31303;1192
31103;1531
33400;15913
31005;475
32100;26049
32503;30
33000;84463
32602;1040
31503;1052
32303;120
31304;100
32306;415
32403;290
30907;10
32202;6702
32304;760
31402;50
32305;525
35901;3913
35902;1561
36100;71855
36402;582
35904;380
35903;50
36000;16641
36404;3228
35905;40
20200;18609
19903;4445
17600;7981
17300;11972
2400;31919
2300;18873
11201;7111
16600;29912
2200;5844
