cz,NAICS4,year,emp
10200,3251,2011,235
10200,3259,2011,60
10200,3261,2011,60
10200,3273,2011,120
10200,3279,2011,10
10200,3323,2011,90
10200,3324,2011,10
10200,3327,2011,118
10200,3328,2011,10
10200,3329,2011,20
10200,3331,2011,40
10200,3332,2011,10
10200,3333,2011,10
10200,3334,2011,10
10200,3359,2011,70
10200,3362,2011,70
10200,3363,2011,70
10200,3364,2011,60
10200,3369,2011,10
10200,3371,2011,40
10200,3372,2011,10
10200,3379,2011,60
10200,3391,2011,57
10200,3399,2011,30
10301,3116,2011,1985
10301,3119,2011,185
10301,3131,2011,375
10301,3211,2011,120
10301,3212,2011,70
10301,3219,2011,235
10301,3221,2011,750
10301,3231,2011,30
10301,3251,2011,70
10301,3252,2011,10
10301,3253,2011,10
10301,3262,2011,60
10301,3273,2011,20
10301,3311,2011,10
10301,3321,2011,10
10301,3323,2011,375
10301,3327,2011,20
10301,3331,2011,60
10301,3335,2011,10
10301,3345,2011,375
10301,3351,2011,375
10301,3359,2011,60
10301,3363,2011,60
10301,3391,2011,10
10301,3399,2011,235
10302,3111,2011,120
10302,3112,2011,185
10302,3116,2011,2590
10302,3118,2011,215
10302,3119,2011,505
10302,3121,2011,120
10302,3122,2011,175
10302,3132,2011,445
10302,3141,2011,70
10302,3149,2011,140
10302,3159,2011,60
10302,3211,2011,70
10302,3212,2011,70
10302,3219,2011,200
10302,3222,2011,60
10302,3231,2011,198
10302,3251,2011,60
10302,3253,2011,20
10302,3259,2011,10
10302,3261,2011,80
10302,3262,2011,1110
10302,3273,2011,150
10302,3279,2011,30
10302,3312,2011,10
10302,3315,2011,60
10302,3322,2011,10
10302,3323,2011,1233
10302,3324,2011,10
10302,3325,2011,10
10302,3327,2011,107
10302,3328,2011,20
10302,3329,2011,30
10302,3331,2011,70
10302,3332,2011,60
10302,3334,2011,10
10302,3339,2011,110
10302,3342,2011,70
10302,3345,2011,60
10302,3351,2011,20
10302,3353,2011,185
10302,3359,2011,10
10302,3362,2011,245
10302,3363,2011,185
10302,3364,2011,10
10302,3366,2011,10
10302,3371,2011,199
10302,3372,2011,60
10302,3391,2011,115
10302,3399,2011,236
10400,3111,2011,175
10400,3116,2011,30
10400,3117,2011,175
10400,3118,2011,185
10400,3121,2011,130
10400,3132,2011,235
10400,3133,2011,70
10400,3149,2011,760
10400,3151,2011,60
10400,3211,2011,365
10400,3212,2011,60
10400,3219,2011,90
10400,3222,2011,210
10400,3231,2011,465
10400,3241,2011,175
10400,3251,2011,60
10400,3254,2011,10
10400,3255,2011,10
10400,3256,2011,185
10400,3261,2011,175
10400,3262,2011,10
10400,3273,2011,130
10400,3274,2011,10
10400,3279,2011,10
10400,3314,2011,60
10400,3315,2011,560
10400,3323,2011,495
10400,3324,2011,10
10400,3326,2011,10
10400,3327,2011,80
10400,3329,2011,10
10400,3334,2011,60
10400,3336,2011,60
10400,3339,2011,60
10400,3342,2011,60
10400,3343,2011,375
10400,3351,2011,70
10400,3363,2011,175
10400,3371,2011,58
10400,3372,2011,70
10400,3391,2011,20
10400,3399,2011,80
10501,3111,2011,60
10501,3116,2011,10
10501,3117,2011,175
10501,3118,2011,80
10501,3119,2011,10
10501,3121,2011,10
10501,3133,2011,10
10501,3149,2011,10
10501,3152,2011,60
