CZ;L_non_manuf
15100;49232
15400;33018
13300;56221
15700;34145
15500;28846
15300;16172
30200;16529
30502;43079
33901;13040
33801;391954
33902;27920
33802;37184
33803;327596
33700;8859
33601;10885
30402;20416
30501;8588
33602;1694
30401;10610
30403;254132
33603;697513
39201;56085
38901;41235
38801;45008
38700;1228
36902;2064
39203;1633
39204;18358
39205;69750
36502;1541
38802;19822
36800;91806
36503;1793
38902;367009
39100;947541
39202;111496
19200;312054
16300;57401
16200;8941
19100;206861
18900;77234
18202;248139
19000;50413
16100;314029
18800;11425
18700;200595
8300;249191
8201;11604
8202;42784
8100;171725
1301;9802
8000;7195
1302;10968
27006;19696
27007;3498
26501;56880
26605;2774
27009;6683
27601;12814
26604;94679
27008;1422
26504;5394
26503;2014
26602;3324
27602;1423
27004;2078
27603;8297
27010;526
27011;3950
27604;1134
26502;251572
27605;31340
27012;28614
302;19683
5700;47169
5800;535079
6402;155752
6502;56565
5600;57270
100;8696
4901;14726
200;18398
4903;36161
6301;24626
4902;103935
5500;84471
6302;42401
33300;144683
31401;42950
32201;76568
31700;558663
32601;1688616
30903;5978
31301;447557
32000;1541
30902;7104
31201;77749
32603;83897
31302;63877
32900;49727
32401;4114
32801;2019
31900;15074
31800;10143
31404;43772
30906;57892
32701;176833
31202;15332
31101;2408
32501;94590
31600;33741
30904;1561250
32502;2515
30802;11059
32301;13368
33100;5269
30905;4873
31102;698
32702;7652
32302;13698
31403;41775
30605;3476
31007;5514
33200;11460
32503;4733
31501;22568
32304;3587
32402;21642
30908;3815
32604;76771
32802;5126
31502;131575
31303;3790
31103;568193
33400;7200
31005;50982
32100;1977
33000;809
32602;7163
31503;330
32403;23171
32303;8391
32305;6688
31304;6232
32306;9087
30907;33545
32202;13121
31402;548618
35901;9207
35902;6469
36404;3127
36100;127665
36402;27900
35904;557
35903;118635
36000;9833
35905;85853
20200;53613
19903;422529
17600;72209
17300;51700
2400;153065
2300;34817
11201;60722
16600;38018
2200;21251
11301;13860
17502;170948
11203;19482
11303;46834
2500;16751
402;26880
17200;21726
38501;16664
38502;1338668
39303;56856
38602;4108
39400;49712
39000;17360
39301;116796
39302;13216
16701;3453
16901;75344
16802;45649
16902;10621
16702;9335
16801;119726
16703;13349
11202;23118
22700;120325
21001;11384
21101;187823
22601;238724
21102;29568
22500;647542
23100;22444
23000;163041
24100;16626
21004;56063
24000;12119
22602;17023
22400;5001
34301;29526
34601;9917
34602;6128
34603;5386
34303;898
27703;0
34302;0
34604;0
