CZ;naics;emp
11101;4481;31
11101;4523;285
11101;4533;8
11101;4539;8
11101;4543;28
11101;4841;274
11101;4842;105
11101;5173;21
11101;5221;73
11101;5222;32
11101;5223;5
11101;5242;32
11101;5311;30
11101;5411;15
11101;5412;13
11101;5613;269
11101;5617;13
11101;6211;138
11101;6212;34
11101;6213;32
11101;6216;164
11101;6233;49
11101;6241;32
11101;7139;116
11101;7211;77
11101;7225;678
11101;8111;22
11101;8121;12
11101;8131;55
9600;1133;63
9600;2211;140
9600;2361;113
9600;2362;192
9600;2371;10
9600;2381;81
9600;2382;381
9600;2383;69
9600;2389;117
9600;4231;343
9600;4233;28
9600;4234;148
9600;4235;28
9600;4236;50
9600;4237;61
9600;4238;421
9600;4239;272
9600;4243;134
9600;4244;510
9600;4247;11
9600;4249;38
9600;4411;490
9600;4412;104
9600;4413;237
9600;4421;175
9600;4422;87
9600;4431;183
9600;4441;647
9600;4442;18
9600;4451;738
9600;4453;21
9600;4461;454
9600;4471;386
9600;4481;372
9600;4482;109
9600;4483;29
9600;4511;105
9600;4512;19
9600;4522;184
9600;4523;1450
9600;4531;11
9600;4532;53
9600;4533;69
9600;4539;89
9600;4541;81
9600;4542;46
9600;4543;49
9600;4841;414
9600;4842;85
9600;4854;67
9600;4884;41
9600;4921;182
9600;4931;144
9600;5111;74
9600;5151;31
9600;5173;280
9600;5221;501
9600;5222;136
9600;5223;34
9600;5231;34
9600;5239;11
9600;5241;47
9600;5242;111
9600;5311;67
9600;5312;62
9600;5313;38
9600;5321;18
9600;5322;83
9600;5324;25
9600;5411;159
9600;5412;164
9600;5413;261
9600;5414;19
9600;5415;91
9600;5416;100
9600;5417;28
9600;5419;155
9600;5511;138
9600;5613;1054
9600;5614;26
9600;5615;20
9600;5616;119
9600;5617;991
9600;5619;87
9600;5629;22
9600;6111;401
9600;6116;47
9600;6211;919
9600;6212;271
9600;6213;219
9600;6214;326
9600;6215;41
9600;6216;438
9600;6219;160
9600;6231;562
9600;6232;13
9600;6233;116
9600;6239;111
9600;6241;396
9600;6242;66
9600;6244;136
9600;7115;2
9600;7139;155
9600;7211;310
9600;7223;255
9600;7225;4604
9600;8111;278
9600;8112;28
9600;8113;40
9600;8114;7
9600;8121;100
9600;8122;89
9600;8123;71
9600;8129;23
9600;8131;859
9600;8132;11
9600;8133;21
9600;8134;33
9600;8139;29
9600;1133;193
9600;2213;39
9600;2361;19
9600;2381;9
9600;2382;75
9600;2383;16
9600;2389;26
9600;4233;32
9600;4238;64
9600;4239;13
9600;4411;77
9600;4413;58
9600;4421;20
9600;4422;17
9600;4441;31
9600;4451;246
9600;4453;4
9600;4461;90
9600;4471;159
9600;4481;15
9600;4482;23
9600;4523;313
9600;4543;11
9600;4841;75
9600;5173;52
9600;5221;81
9600;5222;24
9600;5223;10
9600;5242;11
9600;5311;6
9600;5312;4
9600;5313;6
9600;5411;22
9600;5412;44
9600;5413;21
