CZ;L_non_manuf
11101;115661
11001;206189
10301;5283
10801;67046
10700;428684
9800;38481
9600;109831
6600;102021
10802;7000
9500;21018
10302;58714
6200;47494
11002;10161
11102;16399
6100;59933
10600;20773
6000;207475
10501;16855
9701;84794
34101;135
34114;807
34102;171818
34112;1568
34104;88
34107;504
34115;24923
34109;9033
34111;3242
34108;1982
34106;1210
34113;2871
34105;284
34110;1675
34103;1616
35500;37514
35100;341438
35401;108198
35001;1744526
35002;7958
38300;6346824
37901;943280
38100;66284
4301;5602
4101;2727
25101;9909
30300;197587
25103;13355
20200;117898
4102;18522
4103;16463
34001;42897
25900;47231
25104;6983
4001;4780
4200;268164
30100;76762
5300;19904
30000;26172
25102;14548
25105;10355
4302;17651
33500;55055
25800;14732
34002;13030
37800;2290952
37400;972065
37300;91105
36901;6851
37200;373660
36700;33150
37903;9553
37100;186181
37700;183051
36501;22864
37000;170289
37500;1211685
37603;2865
38000;1206704
38200;229944
36600;58091
28900;1358024
34805;7317
35300;54629
28501;179
28502;45086
28701;5205
28504;1821
28401;250425
35201;71839
35402;7302
28702;91136
28703;7780
35202;5784
28503;2852
28704;8006
28800;202400
28402;853
28301;6096
36401;15801
28302;2105
20901;1331705
19901;157119
19800;281872
11304;2602398
7900;105254
7600;566833
10000;57691
7300;218152
7000;739400
9900;116651
6900;283929
7800;105512
7200;358477
7700;28000
10900;216956
7500;173257
7100;664041
6800;197609
6700;1105179
7400;1113317
9001;15623
8601;20722
9002;13148
9400;89844
9301;66096
8501;2054
8503;59848
8900;114589
8602;29133
8800;204568
8702;19686
8401;155249
9200;21091
6401;190587
9100;2135310
8502;5840
10101;5376
10200;38159
9302;11878
8701;16059
6501;8144
10102;14733
8402;5534
9003;15440
9702;6968
1201;11719
1204;11898
35600;54191
34701;358400
34702;27302
34703;66267
35801;250965
35803;3700
36301;87636
36403;1066
38601;245071
35701;42035
34501;1423
35702;9605
38401;17204
36302;1508
36200;43615
38402;14173
35802;10923
36303;19343
25000;35354
25601;49944
24900;94027
24400;159201
24801;11814
23900;176236
23500;103026
24802;81647
23301;19235
23302;30437
25500;28572
24300;3552094
23400;74886
14801;7943
23700;22645
25602;5240
23600;27594
23801;132734
24200;31712
23200;56631
14802;10454
25401;37956
24701;1032247
14500;84978
14700;129557
14100;201202
14300;48980
14000;89567
14200;797622
13900;34478
13101;516919
14400;52208
14600;67355
12800;25636
13700;84747
12600;20183
13800;31040
14900;193016
13102;8603
13600;189568
27501;335844
28201;5798
26106;2747
27503;6611
22200;108005
22001;65623
27401;8520
27402;21419
27504;11406
22100;82172
21801;21019
21802;12515
27502;4400
27301;14191
23802;13642
22300;26390
27302;9172
22002;5419
28202;399376
21900;19948
27201;16706
28001;56816
27202;10011
29401;8560
29501;15188
29001;2942
29004;9150
29901;73593
29201;4032
29301;202037
29402;9297
29303;5702
28606;236
29003;8542
29203;34569
29101;2180
29002;51
28601;473
29503;33597
29204;106589
29006;10707
29005;18940
31001;10759
28604;2789
29007;686
31002;1828
31003;820
29302;16651
29502;857033
29403;31258
29008;551
29104;19133
29202;2475
31004;6333
29103;1662
31006;5195
28602;584
28603;1135
28605;1275
4601;12084
5401;52194
12901;210207
5402;12773
12902;5225
301;7661
12701;834877
17100;74148
12903;11609
12702;6064
4501;2616
13000;35342
13200;39276
25200;24375
25402;9492
5900;55038
4401;29870
4602;20549
4402;19847
17000;27917
25300;15941
4502;13871
13103;12724
3800;190919
3700;89861
3500;347833
3400;80789
3600;49880
4002;149458
3901;69653
3201;2343
3202;10722
3902;1094
4003;16045
3300;473149
3203;12932
4004;2754
20100;282954
20003;17845
20001;88846
20002;5312
20600;466626
17501;32149
11302;1116021
19902;39968
17400;119003
20500;2612201
20902;52698
20401;564499
20403;4595
20800;213873
20402;4153
12401;13219
11401;27318
12200;455709
12301;47548
11900;131607
21002;7385
12100;134363
12302;21329
11403;8528
11800;29718
11700;140089
12402;16355
11402;19924
11600;1830835
21003;3456
11500;56755
12001;18268
12002;9511
13501;257413
21600;41099
21501;1590613
26701;24257
21400;108940
26601;2766
21301;49545
26002;99497
27101;20721
26801;116706
26003;1591
21701;118439
26901;30516
21702;15555
22900;75112
21502;7176
26702;4053
26004;2379
26001;3019
27102;12953
21201;13612
26703;3894
26902;11102
26704;34394
21202;6352
21302;30816
22800;98450
5100;18334
3101;15046
3001;3931
5201;7238
4800;19531
5000;45162
4701;14056
10502;17042
10400;36223
4702;24861
3003;197335
2900;46639
5202;490898
2700;116489
3002;3299
2800;18382
3102;8604
26107;6001
29505;4227
24702;4949
29800;35238
29902;5507
29504;17855
25701;50288
29601;116772
25702;12321
29602;18998
26102;7384
26103;2232
29700;181131
24500;19607
29506;2037
26104;899
24600;25610
26101;8699
26105;377
34401;1640
34304;12188
34201;4105
34403;24497
34308;65636
26401;131
34203;29785
34305;2484
26405;79
26409;1675
34404;12508
26402;555
34204;2111
34503;42217
34402;50401
34202;2050
34502;2761
26406;1200
34309;166
34504;54669
26408;1614
34307;1182
26411;13435
26407;323
27901;9076
27801;14649
28304;1026
27802;12536
27701;12613
27001;2496
27003;500
28608;18062
28002;2953
27005;8541
28607;3123
27702;32894
28305;1961
28609;8492
27902;5496
28101;139520
28303;83
27002;989
27903;24197
28102;4454
28306;9203
29102;1337
27704;592
37604;215090
37601;22226
37602;5864
37902;97
20700;37051
20301;20634
20302;96477
19700;2423104
19600;2473278
19500;386909
34901;295307
34902;1978
30701;36305
34801;6886
30901;13784
30702;636
30601;275228
30604;9209
30801;30401
30602;13461
34802;71907
34803;1331
30603;1302
34804;352
18600;370630
18201;31714
19400;5436186
17900;73725
17700;342390
16500;168287
18100;96551
17800;30446
18400;33544
19300;265322
18000;850485
18500;20544
18300;52008
500;366031
1100;130196
602;7232
900;877259
601;16633
1001;22026
2100;29058
2600;22451
1500;135759
1203;149587
1002;24930
2000;400066
1900;149170
1701;796971
800;94704
1400;152228
401;207533
1800;40603
1600;57308
1202;13646
700;121445
1702;10965
26404;578
26803;8335
26301;4235
26410;14928
26304;25391
26403;466
26412;20404
26201;52589
26802;1721
26302;551
26203;614
26202;124
26804;131
26204;135
26305;1369
26303;1033
26603;52
13400;67662
16000;65623
15200;1002499
15800;21403
15600;48724
15000;188693
12501;344441
12502;20862
16400;199147
13502;16651
15900;831956
15100;99412
15400;34770
13300;56850
15700;39858
15500;19417
15300;46601
30200;29364
30502;22931
33901;12090
33801;16798
33902;43028
33802;12067
33803;497496
33700;30791
33601;37313
30402;368571
30501;6839
33602;5035
30401;20865
30403;5480
33603;361
39201;8051
38901;296471
38801;932619
38700;53370
36902;42898
39203;67835
39204;312
39205;718
36502;859
38802;15625
36800;89257
36503;470
38902;16538
39100;115669
39202;1182
19200;430904
16300;1037570
16200;109567
19100;394955
18900;57951
18202;5886
19000;273033
16100;75955
18800;281183
18700;49836
8300;315222
8201;5707
8202;271385
8100;273526
1301;8103
8000;40814
1302;210285
27006;7660
27007;3982
26501;8869
26605;14460
27009;1180
27601;58626
26604;976
27008;2592
26504;10381
26503;128434
26602;2113
27602;222
27004;1529
27603;347
27010;407
27011;5874
27604;104
26502;1847
27605;282
27012;196
302;292591
5700;29106
5800;22558
6402;17432
6502;44796
5600;760527
100;148591
4901;48940
200;69338
4903;6170
6301;10134
4902;12019
5500;32317
6302;26224
33300;127154
31401;165283
32201;38323
31700;174812
32601;39696
30903;85790
31301;860908
32000;2411317
30902;2522
31201;858013
32603;209
31302;9077
32900;99761
32801;86295
31900;96347
31800;73356
31404;2807
30906;290
32701;10206
31202;13347
31101;43713
32501;57263
31600;312748
30904;8913
32502;868
30802;119193
32301;34528
33100;2175165
30905;780
31102;9313
32702;12501
32302;2398
31403;4095
30605;333
31007;5237
32401;10378
33200;34675
32503;780
31501;4959
32304;6865
32402;3275
30908;8071
32802;17584
31502;5704
31303;21749
31103;2949
33400;83684
31005;3965
32604;1839
32100;124982
33000;830792
32602;4597
31503;77443
32303;526
32305;9476
31304;345
32306;10148
32403;4582
32202;18685
31402;12100
35901;62928
35902;8467
36404;24175
36100;768762
36402;12149
35904;6179
35903;3669
36000;219703
35905;363
19903;7072
17600;88816
17300;39429
2400;505585
2300;75793
11201;37448
16600;148125
2200;23258
11301;82484
17502;42573
11203;11621
11303;7491
2500;168244
402;12450
17200;49155
38501;20798
38502;36232
39303;20318
38602;12975
39400;1840876
39000;72293
39301;4705
39302;64775
16701;9791
16901;100665
16802;7879
16902;1456
16702;77188
16801;40513
16703;7141
11202;3222
22700;109410
21001;7464
21101;19641
22601;132512
21102;10217
22500;203300
23100;316535
23000;21018
24100;713114
21004;17180
24000;177927
22602;10524
22400;49306
34301;9036
34601;19547
34602;2975
34603;33163
34303;8905
27703;3272
34302;2402
34604;150
