CZ;naics;emp
6000;3344;52
6000;3371;9
6000;3391;111
6000;3399;197
10501;3211;194
10501;3219;293
10501;3371;11
11102;3119;394
11102;3231;13
11102;3261;222
9600;3261;91
9600;3323;220
9600;3371;31
9701;3273;59
9701;3323;30
10700;3231;29
10700;3271;240
10700;3273;187
10700;3323;389
10700;3363;1242
10700;3372;240
10700;3118;126
10700;3119;149
10700;3121;17
10700;3219;138
10700;3231;171
10700;3255;40
10700;3261;105
10700;3273;511
10700;3274;551
10700;3279;240
10700;3323;257
10700;3327;92
10700;3329;161
10700;3331;39
10700;3339;703
10700;3371;311
10700;3391;58
10700;3399;280
9500;3219;29
9500;3253;235
9500;3279;12
9500;3315;989
9500;3323;333
9500;3327;288
9500;3329;96
9500;3339;134
9500;3363;627
9500;3371;739
9500;3323;93
9500;3327;23
9500;3363;1609
9500;3371;262
10801;3118;130
10801;3149;8
10801;3211;783
10801;3219;224
10801;3231;51
10801;3241;785
10801;3251;49
10801;3262;1568
10801;3273;270
10801;3322;24
10801;3323;156
10801;3327;175
10801;3363;4847
10801;3371;39
10801;3391;42
10801;3399;125
10600;3211;153
10600;3219;142
10600;3231;6
10600;3273;37
10600;3323;106
10600;3327;252
11001;3251;741
10600;3211;265
10600;3219;1502
10600;3323;34
10600;3362;605
10600;3371;236
34101;3117;1878
34114;3117;2240
34102;3113;57
34102;3118;290
34102;3119;52
34102;3121;153
34102;3219;183
34102;3231;207
34102;3241;18
34102;3261;31
34102;3272;21
34102;3273;61
34102;3323;39
34102;3324;55
34102;3327;51
34102;3328;35
34102;3345;29
34102;3364;186
34102;3391;69
34102;3399;86
34104;3117;88
34107;3117;11
34115;3121;115
34115;3149;33
34115;3152;6
34115;3219;11
34115;3231;33
34115;3241;49
34115;3273;24
34115;3323;16
34115;3327;16
34115;3399;18
34109;3117;10
34109;3117;45
34109;3121;130
34109;3231;28
34109;3241;9
34109;3399;4
34102;3117;193
34102;3118;18
34102;3121;48
34102;3231;9
34102;3323;5
34102;3327;71
34102;3363;7
34102;3366;47
34102;3371;5
34111;3117;72
34108;3117;2212
34108;3366;17
34107;3117;52
34102;3119;15
34102;3121;18
34102;3219;18
34102;3231;11
34102;3261;31
34102;3273;27
34102;3323;326
34102;3327;36
34102;3329;7
34102;3371;5
34110;3117;343
34103;3117;131
35100;3121;46
35100;3273;56
35100;3323;4
35100;3327;9
35100;3371;18
35401;3121;116
35401;3149;7
35401;3219;24
35401;3231;38
35401;3261;112
35401;3273;60
35401;3323;19
35401;3372;80
35401;3391;3577
35001;3273;41
35002;3231;172
35002;3279;7
35001;3111;109
35001;3112;64
35001;3113;151
35001;3114;275
35001;3115;1495
35001;3116;1645
35001;3118;4189
35001;3119;2614
35001;3121;2436
35001;3132;35
35001;3133;70
35001;3141;163
35001;3149;701
35001;3152;240
35001;3159;13
35001;3169;21
35001;3211;179
35001;3212;1041
35001;3219;3358
35001;3221;132
35001;3222;2169
35001;3231;4220
35001;3241;367
35001;3251;543
35001;3252;337
35001;3253;87
