cz,NAICS4,year,emp
11302,3328,2019,236
11302,3329,2019,30
11302,3332,2019,149
11302,3333,2019,173
11302,3335,2019,185
11302,3339,2019,415
11302,3342,2019,168
11302,3343,2019,9
11302,3345,2019,521
11302,3366,2019,141
11302,3371,2019,200
11302,3372,2019,448
11302,3391,2019,230
11302,3399,2019,865
11303,3117,2019,407
11304,3118,2019,2887
11304,3119,2019,122
11304,3121,2019,1991
11304,3141,2019,151
11304,3149,2019,64
11304,3152,2019,52
11304,3159,2019,5
11304,3219,2019,180
11304,3231,2019,6579
11304,3241,2019,21
11304,3254,2019,2063
11304,3261,2019,206
11304,3272,2019,14
11304,3273,2019,1283
11304,3279,2019,305
11304,3323,2019,1471
11304,3327,2019,413
11304,3328,2019,51
11304,3333,2019,367
11304,3341,2019,65
11304,3342,2019,1472
11304,3344,2019,544
11304,3345,2019,1157
11304,3346,2019,112
11304,3371,2019,199
11304,3372,2019,616
11304,3391,2019,629
11304,3399,2019,648
11401,3121,2019,36
11401,3231,2019,38
11401,3273,2019,7
11401,3327,2019,101
11401,3399,2019,29
11402,3211,2019,273
11402,3219,2019,45
11402,3231,2019,16
11402,3273,2019,18
11402,3327,2019,175
11402,3331,2019,132
11402,3335,2019,200
11402,3363,2019,802
11403,3211,2019,18
11500,3118,2019,152
11500,3219,2019,35
11500,3231,2019,86
11500,3252,2019,176
11500,3261,2019,836
11500,3327,2019,1999
11500,3328,2019,605
11500,3329,2019,925
11500,3332,2019,10
11500,3335,2019,781
11500,3339,2019,196
11500,3362,2019,43
11500,3363,2019,3138
11500,3371,2019,16
11500,3391,2019,18
11500,3399,2019,79
11600,3111,2019,30
11600,3113,2019,29
11600,3114,2019,811
11600,3115,2019,314
11600,3116,2019,777
11600,3118,2019,2278
11600,3119,2019,582
11600,3121,2019,1761
11600,3122,2019,5
11600,3141,2019,75
11600,3149,2019,599
11600,3152,2019,18
11600,3159,2019,21
11600,3219,2019,829
11600,3222,2019,1591
11600,3231,2019,6127
11600,3241,2019,636
11600,3251,2019,564
11600,3252,2019,3212
11600,3254,2019,762
11600,3255,2019,3348
11600,3256,2019,262
11600,3259,2019,428
11600,3261,2019,16297
11600,3262,2019,1268
11600,3272,2019,443
11600,3273,2019,882
11600,3279,2019,997
11600,3311,2019,3891
11600,3312,2019,1343
11600,3315,2019,100
11600,3321,2019,3297
11600,3322,2019,531
11600,3323,2019,2867
11600,3325,2019,479
11600,3326,2019,480
11600,3327,2019,15383
11600,3328,2019,7185
11600,3329,2019,3591
11600,3332,2019,2819
11600,3333,2019,1423
11600,3334,2019,760
11600,3335,2019,17438
11600,3336,2019,1277
11600,3339,2019,6627
11600,3341,2019,155
11600,3342,2019,201
11600,3343,2019,138
11600,3344,2019,1705
11600,3345,2019,4284
11600,3346,2019,60
11600,3351,2019,30
11600,3353,2019,714
11600,3359,2019,1774
11600,3361,2019,20689
11600,3362,2019,741
11600,3363,2019,69114
11600,3364,2019,1109
11600,3369,2019,772
11600,3371,2019,688
11600,3372,2019,626
11600,3391,2019,1452
11600,3399,2019,4334
11700,3111,2019,21
11700,3118,2019,221
11700,3219,2019,262
11700,3231,2019,828
11700,3261,2019,564
11700,3323,2019,135
11700,3327,2019,602
11700,3328,2019,114
11700,3332,2019,144
11700,3335,2019,258
11700,3359,2019,64
11700,3363,2019,1223
11700,3391,2019,78
11700,3399,2019,64
11800,3116,2019,25
11800,3211,2019,33
11800,3231,2019,144
11800,3327,2019,81
11900,3114,2019,170
11900,3118,2019,139
11900,3211,2019,65
11900,3231,2019,623
11900,3251,2019,2062
11900,3261,2019,1198
11900,3273,2019,117
11900,3315,2019,1051
11900,3323,2019,692
11900,3327,2019,1950
11900,3328,2019,72
11900,3332,2019,324
11900,3335,2019,876
11900,3339,2019,122
11900,3363,2019,117
11900,3371,2019,17
11900,3391,2019,519
11900,3399,2019,55
12001,3211,2019,276
12001,3273,2019,17
12001,3327,2019,218
12001,3329,2019,433
12001,3335,2019,136
12002,3273,2019,14
12002,3313,2019,494
1201,3121,2019,24
1201,3371,2019,38
1203,3113,2019,88
1203,3114,2019,115
1203,3118,2019,62
1203,3119,2019,18
1203,3121,2019,1108
1203,3132,2019,788
1203,3141,2019,285
1203,3149,2019,227
1203,3169,2019,51
1203,3211,2019,34
1203,3219,2019,15
1203,3231,2019,862
1203,3252,2019,260
1203,3254,2019,70
1203,3256,2019,18
1203,3261,2019,397
1203,3271,2019,56
1203,3272,2019,9
1203,3279,2019,34
1203,3323,2019,198
1203,3327,2019,574
1203,3329,2019,55
1203,3332,2019,125
1203,3335,2019,28
1203,3336,2019,653
1203,3364,2019,656
1203,3371,2019,50
1203,3372,2019,27
1203,3391,2019,482
1203,3399,2019,254
1204,3231,2019,10
1204,3371,2019,11
12100,3112,2019,864
12100,3114,2019,401
12100,3118,2019,152
12100,3119,2019,364
12100,3121,2019,1040
12100,3219,2019,67
12100,3222,2019,526
12100,3231,2019,777
12100,3252,2019,81
12100,3254,2019,3184
12100,3261,2019,2362
12100,3273,2019,143
12100,3313,2019,674
12100,3323,2019,104
12100,3327,2019,1563
12100,3328,2019,156
12100,3329,2019,872
12100,3332,2019,35
12100,3335,2019,550
12100,3339,2019,470
12100,3359,2019,154
12100,3363,2019,4789
12100,3371,2019,707
12100,3391,2019,2460
12100,3399,2019,274
12200,3111,2019,230
12200,3114,2019,670
12200,3116,2019,1387
12200,3118,2019,1659
12200,3119,2019,2256
12200,3121,2019,1383
12200,3141,2019,226
12200,3149,2019,156
12200,3152,2019,13
12200,3159,2019,32
12200,3211,2019,109
12200,3212,2019,101
12200,3219,2019,1589
12200,3222,2019,2533
12200,3231,2019,2952
12200,3251,2019,90
12200,3252,2019,303
12200,3254,2019,773
12200,3255,2019,357
12200,3256,2019,70
12200,3259,2019,125
12200,3261,2019,13322
12200,3262,2019,383
12200,3271,2019,53
12200,3272,2019,1515
12200,3273,2019,824
12200,3279,2019,54
12200,3312,2019,206
12200,3315,2019,2506
12200,3321,2019,3539
12200,3322,2019,168
12200,3323,2019,1963
12200,3325,2019,753
12200,3326,2019,898
12200,3327,2019,4756
12200,3328,2019,3509
12200,3329,2019,2195
12200,3331,2019,126
12200,3332,2019,870
12200,3333,2019,426
12200,3334,2019,233
12200,3335,2019,5509
12200,3336,2019,1302
12200,3339,2019,5922
12200,3344,2019,385
12200,3345,2019,1606
12200,3346,2019,28
12200,3351,2019,121
12200,3353,2019,45
12200,3359,2019,288
12200,3363,2019,15956
12200,3364,2019,402
12200,3366,2019,392
12200,3371,2019,1922
12200,3372,2019,12040
12200,3391,2019,1748
12200,3399,2019,974
12301,3114,2019,26
12301,3118,2019,157
12301,3121,2019,577
12301,3149,2019,74
12301,3231,2019,424
12301,3323,2019,63
12301,3327,2019,388
12301,3335,2019,112
12301,3371,2019,62
12301,3391,2019,53
12301,3399,2019,48
12302,3121,2019,28
12302,3231,2019,58
12302,3273,2019,25
12302,3327,2019,23
12401,3211,2019,55
12401,3219,2019,65
12401,3273,2019,93
12401,3327,2019,113
12401,3332,2019,56
12401,3335,2019,223
12402,3211,2019,188
12402,3231,2019,17
12402,3327,2019,105
12501,3111,2019,22
12501,3113,2019,82
12501,3116,2019,507
12501,3118,2019,518
12501,3121,2019,138
12501,3149,2019,65
12501,3219,2019,132
12501,3222,2019,1239
12501,3231,2019,1532
12501,3241,2019,17
12501,3251,2019,237
12501,3252,2019,365
12501,3253,2019,32
12501,3256,2019,112
12501,3261,2019,1904
12501,3262,2019,933
12501,3273,2019,368
12501,3279,2019,64
12501,3315,2019,599
12501,3321,2019,509
12501,3322,2019,349
12501,3323,2019,967
12501,3324,2019,132
12501,3327,2019,4936
12501,3328,2019,1798
12501,3329,2019,634
12501,3332,2019,499
12501,3333,2019,130
12501,3334,2019,1943
12501,3335,2019,2339
12501,3336,2019,330
12501,3339,2019,780
12501,3344,2019,849
12501,3345,2019,2486
12501,3353,2019,615
12501,3361,2019,1419
12501,3362,2019,71
12501,3363,2019,4319
12501,3364,2019,1996
12501,3371,2019,89
12501,3372,2019,251
12501,3391,2019,999
12501,3399,2019,397
12502,3231,2019,66
12502,3261,2019,358
12502,3327,2019,209
12600,3231,2019,39
12600,3327,2019,291
12600,3329,2019,158
12600,3335,2019,55
12600,3399,2019,269
12701,3113,2019,62
12701,3114,2019,541
12701,3115,2019,326
12701,3116,2019,1080
12701,3118,2019,973
12701,3119,2019,704
12701,3121,2019,1599
12701,3141,2019,170
12701,3149,2019,156
12701,3211,2019,75
12701,3219,2019,487
12701,3221,2019,133
12701,3222,2019,3531
12701,3231,2019,5673
12701,3241,2019,297
12701,3251,2019,1329
12701,3252,2019,231
12701,3254,2019,1129
12701,3255,2019,1058
12701,3256,2019,2321
12701,3259,2019,639
12701,3261,2019,3137
12701,3262,2019,77
12701,3271,2019,183
12701,3272,2019,178
12701,3273,2019,555
12701,3279,2019,377
12701,3311,2019,2258
12701,3312,2019,246
12701,3315,2019,218
12701,3321,2019,35
12701,3323,2019,1560
12701,3324,2019,154
12701,3325,2019,154
12701,3326,2019,1113
12701,3327,2019,3714
12701,3328,2019,1223
12701,3329,2019,1150
12701,3332,2019,1488
12701,3333,2019,432
12701,3334,2019,287
12701,3335,2019,1571
12701,3339,2019,2751
12701,3344,2019,113
12701,3345,2019,1021
12701,3353,2019,543
12701,3363,2019,4916
12701,3364,2019,8343
12701,3371,2019,354
12701,3372,2019,448
12701,3391,2019,441
12701,3399,2019,1545
12702,3211,2019,39
12702,3219,2019,33
12800,3231,2019,11
12800,3327,2019,134
12800,3329,2019,38
12800,3335,2019,37
12901,3118,2019,109
12901,3121,2019,876
12901,3219,2019,59
12901,3231,2019,721
12901,3254,2019,303
12901,3261,2019,606
12901,3273,2019,174
12901,3279,2019,79
12901,3321,2019,724
12901,3323,2019,614
12901,3327,2019,389
12901,3335,2019,22
12901,3353,2019,14
12901,3363,2019,1055
12901,3371,2019,14
12901,3372,2019,114
12901,3391,2019,105
12901,3399,2019,88
12903,3231,2019,1247
12903,3327,2019,7
13000,3212,2019,17
13000,3231,2019,151
13000,3241,2019,22
13000,3261,2019,500
13000,3323,2019,41
13000,3327,2019,120
13000,3371,2019,38
1301,3133,2019,646
1301,3212,2019,536
1301,3327,2019,17
1302,3149,2019,11
1302,3219,2019,162
1302,3222,2019,478
1302,3231,2019,174
1302,3261,2019,104
