cz,NAICS4,year,emp
100,3111,2012,10
100,3112,2012,70
100,3113,2012,70
100,3114,2012,60
100,3116,2012,10
100,3118,2012,40
100,3119,2012,80
100,3121,2012,405
100,3131,2012,60
100,3132,2012,70
100,3133,2012,605
100,3141,2012,70
100,3149,2012,220
100,3151,2012,60
100,3152,2012,140
100,3159,2012,60
100,3169,2012,10
100,3211,2012,230
100,3212,2012,220
100,3219,2012,1115
100,3221,2012,375
100,3222,2012,920
100,3231,2012,1178
100,3241,2012,10
100,3251,2012,17520
100,3252,2012,880
100,3253,2012,10
100,3254,2012,760
100,3255,2012,60
100,3256,2012,70
100,3259,2012,830
100,3261,2012,2065
100,3262,2012,950
100,3271,2012,140
100,3272,2012,585
100,3273,2012,420
100,3279,2012,255
100,3312,2012,560
100,3313,2012,185
100,3314,2012,370
100,3315,2012,190
100,3321,2012,550
100,3322,2012,445
100,3323,2012,1140
100,3324,2012,550
100,3325,2012,185
100,3326,2012,375
100,3327,2012,822
100,3328,2012,260
100,3329,2012,650
100,3331,2012,2163
100,3332,2012,100
100,3333,2012,20
100,3334,2012,1475
100,3335,2012,605
100,3339,2012,1160
100,3341,2012,10
100,3342,2012,60
100,3344,2012,150
100,3345,2012,70
100,3351,2012,175
100,3352,2012,750
100,3353,2012,815
100,3359,2012,455
100,3362,2012,2370
100,3363,2012,3080
100,3364,2012,750
100,3369,2012,10
100,3371,2012,240
100,3372,2012,80
100,3379,2012,435
100,3391,2012,365
100,3399,2012,535
10000,3117,2012,185
10000,3121,2012,20
10000,3149,2012,20
10000,3212,2012,20
10000,3219,2012,100
10000,3221,2012,750
10000,3222,2012,60
10000,3231,2012,255
10000,3251,2012,185
10000,3255,2012,60
10000,3272,2012,10
10000,3273,2012,80
10000,3279,2012,10
10000,3312,2012,175
10000,3314,2012,10
10000,3321,2012,175
10000,3323,2012,96
10000,3327,2012,235
10000,3328,2012,60
10000,3329,2012,70
10000,3331,2012,175
10000,3333,2012,10
10000,3334,2012,760
10000,3339,2012,195
10000,3341,2012,60
10000,3342,2012,60
10000,3345,2012,10
10000,3351,2012,70
10000,3353,2012,10
10000,3359,2012,10
10000,3362,2012,10
10000,3364,2012,10
10000,3366,2012,1810
10000,3369,2012,10
10000,3371,2012,39
10000,3372,2012,10
10000,3379,2012,10
10000,3391,2012,10
10000,3399,2012,52
1001,3113,2012,175
1001,3116,2012,60
1001,3118,2012,80
1001,3119,2012,10
1001,3131,2012,175
1001,3133,2012,20
1001,3141,2012,10
1001,3149,2012,10
1001,3151,2012,60
1001,3152,2012,10
1001,3162,2012,10
1001,3169,2012,10
1001,3211,2012,70
1001,3219,2012,220
1001,3222,2012,10
1001,3231,2012,10
1001,3255,2012,10
1001,3259,2012,10
1001,3262,2012,10
1001,3271,2012,10
1001,3273,2012,30
1001,3279,2012,60
1001,3322,2012,10
1001,3323,2012,40
1001,3324,2012,10
1001,3327,2012,30
1001,3329,2012,195
1001,3344,2012,175
1001,3363,2012,60
1001,3371,2012,160
1001,3391,2012,195
1001,3399,2012,30
1002,3113,2012,10
1002,3114,2012,60
1002,3115,2012,10
1002,3116,2012,1770
1002,3118,2012,385
1002,3121,2012,80
1002,3131,2012,550
1002,3132,2012,545
1002,3133,2012,750
1002,3141,2012,395
1002,3149,2012,70
1002,3151,2012,245
1002,3152,2012,80
1002,3159,2012,10
1002,3211,2012,190
1002,3212,2012,579
1002,3219,2012,230
1002,3222,2012,615
1002,3231,2012,46
1002,3241,2012,30
1002,3252,2012,120
1002,3254,2012,1750
1002,3255,2012,10
1002,3256,2012,10
1002,3259,2012,175
1002,3261,2012,275
1002,3262,2012,10
1002,3271,2012,20
1002,3272,2012,215
1002,3273,2012,50
1002,3279,2012,20
1002,3311,2012,10
1002,3315,2012,60
1002,3321,2012,20
1002,3322,2012,60
1002,3323,2012,195
1002,3324,2012,350
1002,3326,2012,175
1002,3327,2012,325
1002,3328,2012,70
1002,3329,2012,595
1002,3331,2012,60
1002,3332,2012,20
1002,3334,2012,175
1002,3335,2012,120
1002,3336,2012,350
1002,3341,2012,10
1002,3359,2012,725
1002,3362,2012,375
1002,3363,2012,870
1002,3371,2012,1414
1002,3372,2012,10
1002,3379,2012,60
1002,3391,2012,185
1002,3399,2012,47
10101,3111,2012,195
10101,3118,2012,10
10101,3119,2012,175
10101,3212,2012,60
10101,3219,2012,185
10101,3231,2012,10
10101,3241,2012,20
10101,3251,2012,175
10101,3252,2012,385
10101,3256,2012,10
10101,3261,2012,60
10101,3272,2012,10
10101,3273,2012,20
10101,3323,2012,70
10101,3327,2012,10
10101,3331,2012,20
10101,3339,2012,10
10101,3344,2012,10
10101,3371,2012,30
