CZ;L_non_manuf
15700;50430
15500;33063
15300;62367
30200;35952
30502;32170
33901;18850
33801;22599
33902;46090
33802;14740
33803;461095
33700;37697
33601;44478
30402;356556
30501;10190
33602;12868
30401;24439
30403;8107
33603;1449
39201;11008
38901;268834
38801;758820
38700;56222
36902;40613
39203;56914
39204;1186
39205;1875
36502;1917
38802;20375
36800;77597
36503;1540
38902;19202
39100;112289
39202;2115
19200;417338
16300;1022392
16200;120200
19100;363225
18900;64840
18202;9516
19000;242174
16100;84436
18800;281043
18700;62698
8300;292870
8201;11042
8202;228883
8100;262305
1301;10782
8000;45520
1302;194150
27006;12855
27007;7075
26501;12285
26605;20294
27009;3488
27601;65932
26604;2649
27008;6391
26504;14341
26503;122888
26602;5336
27602;1350
27004;3388
27603;1320
27010;2081
27011;9029
26502;4177
27012;949
27605;2228
302;289498
5700;33327
5800;30197
6402;22166
6502;51298
5600;612342
100;165192
4901;61818
200;67972
4903;10301
6301;14914
4902;18402
5500;35639
6302;29194
33300;128775
31401;123289
32201;45982
31700;168842
32601;44074
31301;706228
32000;1972606
30902;5767
31201;643217
32603;1172
31302;8765
32900;92867
32801;95153
31900;80902
31800;59197
31404;5085
30906;1801
32701;16351
31202;14212
31101;48538
32501;65389
31600;275583
30904;18594
32502;2447
30802;112114
32301;38124
33100;1680311
30905;2913
31102;11862
32702;15941
32302;5418
31403;7084
30605;674
31007;8968
32401;14223
30903;89031
33200;42427
31501;6107
32402;4784
30908;12810
32604;4820
32802;23832
31502;5894
31303;24029
31103;4073
33400;99463
31005;6313
32100;131186
32503;3340
33000;716412
32602;8897
31503;72124
32303;1597
31304;1133
32306;11748
32403;7754
30907;380
32202;24410
32304;9443
31402;7659
32305;11743
35901;47114
35902;14447
36100;613505
36402;17787
35904;7848
35903;4383
36000;143418
36404;34027
35905;684
20200;134419
19903;10368
17600;100349
17300;55681
2400;446978
2300;82171
11201;53858
16600;167480
2200;36643
11301;88393
17502;45019
11203;24472
11303;15572
2500;180532
402;21366
17200;56240
38501;19717
38502;31753
39303;23227
38602;15697
39400;1547114
39000;65537
39301;4365
39302;59999
16701;18542
16901;123175
16802;14167
16902;3814
16702;93300
16801;52618
16703;12341
11202;8154
22700;126709
21001;12375
21101;24534
22601;132946
21102;11787
22500;204390
23100;288363
23000;30371
24100;691420
21004;21895
24000;168725
22602;14847
22400;55475
34301;13787
34601;27450
34602;4638
34603;39385
34303;12043
27703;6025
34302;5602
34604;807
