CZ;naics;emp
11102;3363;175
11102;3364;10
11102;3371;25
11102;3399;60
11102;3118;60
11102;3212;60
11102;3254;10
11102;3329;10
11102;3332;60
11102;3363;750
11102;3364;10
11102;3371;10
10700;3111;60
10700;3113;10
10700;3116;750
10700;3118;10
10700;3141;60
10700;3152;10
10700;3212;175
10700;3219;228
10700;3222;455
10700;3231;60
10700;3253;10
10700;3255;10
10700;3261;375
10700;3262;60
10700;3273;60
10700;3279;12
10700;3315;60
10700;3321;175
10700;3322;60
10700;3323;95
10700;3326;60
10700;3327;60
10700;3328;10
10700;3329;175
10700;3331;60
10700;3334;60
10700;3335;10
10700;3339;175
10700;3344;10
10700;3345;175
10700;3361;10
10700;3362;10
10700;3363;612
10700;3366;10
10700;3371;60
10700;3379;175
10700;3391;10
10302;3118;10
10302;3121;60
10302;3219;60
10302;3231;10
10302;3251;60
10302;3253;10
10302;3262;10
10302;3273;60
10302;3279;10
10302;3323;10
10302;3331;60
10302;3339;60
10302;3362;60
10302;3364;10
10302;3371;10
10302;3399;10
10801;3116;175
10801;3119;10
10801;3121;10
10801;3141;375
10801;3152;375
10801;3211;175
10801;3219;60
10801;3221;750
10801;3222;10
10801;3231;60
10801;3251;10
10801;3254;10
10801;3261;10
10801;3271;60
10801;3272;175
10801;3273;10
10801;3314;60
10801;3323;10
10801;3325;375
10801;3327;10
10801;3329;10
10801;3331;375
10801;3339;60
10801;3363;175
10801;3369;10
10801;3391;10
10801;3399;10
6100;3111;10
6100;3116;1750
6100;3118;10
6100;3131;375
6100;3132;10
6100;3133;61
6100;3149;10
6100;3151;1206
6100;3169;37
6100;3211;60
6100;3212;10
6100;3219;60
6100;3222;65
6100;3231;10
6100;3255;10
6100;3261;259
6100;3271;10
6100;3272;10
6100;3273;10
6100;3279;10
6100;3312;60
6100;3314;60
6100;3321;175
6100;3323;722
6100;3327;175
6100;3329;60
6100;3332;202
6100;3336;375
6100;3339;10
6100;3353;60
6100;3362;750
6100;3363;375
6100;3371;66
6100;3391;10
6100;3399;375
11101;3121;10
11101;3131;175
11101;3141;10
11101;3149;10
11101;3152;10
11101;3159;60
11101;3212;10
11101;3219;79
11101;3231;10
11101;3261;749
11101;3271;60
11101;3273;10
11101;3323;175
11101;3324;60
11101;3327;34
11101;3328;10
11101;3329;60
11101;3339;10
11101;3344;60
11101;3345;750
11101;3363;175
11101;3364;750
11101;3371;10
11101;3372;375
11101;3391;10
11101;3399;60
11002;3118;10
11002;3132;60
11002;3211;402
11002;3219;10
11002;3221;375
11002;3231;10
11002;3241;10
11002;3251;60
11002;3253;10
11002;3261;60
11002;3273;10
11002;3315;175
11002;3323;10
11002;3324;10
11002;3327;66
11002;3334;60
11002;3336;60
11002;3362;10
11002;3371;10
11002;3379;10
11002;3391;10
11002;3399;60
6100;3111;60
6100;3116;1433
6100;3141;10
6100;3149;10
6100;3169;10
6100;3211;10
6100;3219;60
6100;3231;29
6100;3241;10
6100;3251;60
6100;3259;10
6100;3261;60
6100;3262;1750
6100;3272;10
6100;3273;60
6100;3279;10
6100;3313;60
6100;3321;175
6100;3322;10
6100;3323;139
6100;3327;146
6100;3328;60
6100;3329;60
6100;3331;10
6100;3332;10
6100;3335;60
6100;3339;60
6100;3344;10
6100;3351;175
6100;3362;10
6100;3363;375
6100;3369;10
6100;3371;60
6100;3391;10
6100;3399;10
10600;3113;10
10600;3116;10
10600;3121;10
10600;3159;10
10600;3211;60
10600;3212;10
10600;3219;60
10600;3261;60
10600;3271;60
10600;3273;10
10600;3323;10
10600;3329;10
10600;3335;10
10600;3339;60
10600;3344;10
10600;3362;60
10600;3371;10
10600;3391;375
6200;3111;375
6200;3116;1750
6200;3121;10
6200;3141;30
6200;3219;277
6200;3231;10
6200;3253;10
6200;3262;175
6200;3272;60
6200;3273;10
6200;3279;60
6200;3323;223
6200;3324;10
6200;3325;60
6200;3327;60
6200;3329;10
6200;3331;10
6200;3335;60
6200;3339;60
6200;3351;10
6200;3362;1750
6200;3363;10
6200;3371;62
6200;3399;60
10302;3111;60
10302;3112;10
10302;3116;10
10302;3119;10
10302;3132;60
10302;3141;10
10302;3149;10
10302;3231;60
10302;3261;10
10302;3273;10
10302;3323;375
10302;3342;10
10302;3351;10
10302;3366;10
10302;3371;60
10802;3117;60
10802;3219;60
