CZ;L_manuf
32501;1954
32301;2502
32305;33
31503;499
32601;3908
32602;75
35902;964
36100;76261
36402;138
35903;11
35901;3127
36000;16603
20200;11156
19903;2950
17600;4078
17300;1720
2400;18049
2300;6234
16600;9437
2200;2027
11201;3072
11301;925
17502;4964
11303;537
402;2262
2500;26820
17200;9486
38501;3480
38502;658
39303;894
39400;174534
39000;9317
38602;451
39301;64
39302;8219
16701;1180
16802;363
16902;31
16801;1031
16702;1871
16901;4403
16703;98
11202;18
21001;782
21101;2717
22601;29070
21102;2884
22500;48114
22700;28979
23100;29387
23000;5029
24100;118893
21004;616
24000;37597
22602;1970
22400;23259
28704;150
34301;45
34601;417
34602;2
34303;27
27702;847
36404;1317
34603;1212
27703;42
34304;149
34302;82
