"cz","L_manuf_t0","L_manuf_t1","d_ln_L","IPW","period","sample"
"16901",9318,7796,-0.178337231749291,14.494639650751,"1999-2011","manuf"
"16902",1125,360,-1.13943428318836,19.2766604692921,"1999-2011","manuf"
"17000",2436,1506,-0.480900220469949,10.8591483691195,"1999-2011","manuf"
"1701",111907,60947,-0.607663535171563,57.4309258880918,"1999-2011","manuf"
"1702",6369,2385,-0.982243347048923,10.2364622843337,"1999-2011","manuf"
"17100",18999,14037,-0.302689645650215,13.2136384401004,"1999-2011","manuf"
"17200",23267,15945,-0.377890747183136,16.5663850535404,"1999-2011","manuf"
"17300",18405,11972,-0.430051776840532,12.6968120927732,"1999-2011","manuf"
"17400",33357,21188,-0.453832661706942,11.5071395369357,"1999-2011","manuf"
"17501",10408,9450,-0.096559999704553,7.3243865648361,"1999-2011","manuf"
"17502",13642,8735,-0.445815325646508,13.3403284117511,"1999-2011","manuf"
"17600",13649,7981,-0.536602541980187,20.0509762179225,"1999-2011","manuf"
"17700",73371,46852,-0.448535064974255,16.0232915910683,"1999-2011","manuf"
"17800",11624,8458,-0.317959187217685,17.2607708569438,"1999-2011","manuf"
"17900",29172,10915,-0.98307135512008,77.5210325856403,"1999-2011","manuf"
"1800",19055,14970,-0.241281335894287,11.6430528278966,"1999-2011","manuf"
"18000",193031,120132,-0.474259659542902,14.5483122242121,"1999-2011","manuf"
"18100",27924,19781,-0.344764653074217,23.811349908569,"1999-2011","manuf"
"18201",16015,12765,-0.226818732367674,16.1074562873811,"1999-2011","manuf"
"18202",10419,8325,-0.224368026563539,11.9920777087496,"1999-2011","manuf"
"18300",11221,6177,-0.596954305968968,9.06239585586999,"1999-2011","manuf"
"18400",8439,5190,-0.486130120998032,29.4685900845961,"1999-2011","manuf"
"18500",8497,6446,-0.276253376628159,14.1551565867018,"1999-2011","manuf"
"18600",42007,32260,-0.264008198365625,13.0469455053364,"1999-2011","manuf"
"18700",19208,10807,-0.575132786597925,11.8996122883286,"1999-2011","manuf"
"18800",60959,41356,-0.387983993319919,12.9335037976818,"1999-2011","manuf"
"18900",24847,18366,-0.30223589171746,12.8980481918046,"1999-2011","manuf"
"1900",27286,14911,-0.604274554531912,23.0604378736321,"1999-2011","manuf"
"19000",45040,30473,-0.390709938181258,19.9829645151086,"1999-2011","manuf"
"19100",124662,85543,-0.376586901395259,13.0996156665509,"1999-2011","manuf"
"19200",93021,65167,-0.355872068280688,12.0262925579809,"1999-2011","manuf"
"19300",30403,23510,-0.257115425201757,23.3450911117747,"1999-2011","manuf"
"19400",306153,160066,-0.648498746814941,25.6742574711832,"1999-2011","manuf"
"19500",18531,14116,-0.272136099568849,17.6629155898848,"1999-2011","manuf"
"19600",317898,186311,-0.534313256194118,15.2718718108713,"1999-2011","manuf"
"19700",267523,173291,-0.434233281639351,16.0811992685188,"1999-2011","manuf"
"19800",28714,19034,-0.41115795505535,11.0864893786332,"1999-2011","manuf"
"19901",30745,20053,-0.427348610910537,10.9657377322067,"1999-2011","manuf"
"19902",11239,8647,-0.262177432557838,10.3557498906302,"1999-2011","manuf"
"19903",4955,4445,-0.108617298816084,3.53720541657134,"1999-2011","manuf"
"200",26503,15571,-0.531847724272566,21.2805600877941,"1999-2011","manuf"
"2000",28214,23860,-0.16761489198254,10.0726195640314,"1999-2011","manuf"
"20001",18921,11124,-0.531167479977904,28.645647044148,"1999-2011","manuf"
"20002",2068,999,-0.727582456979766,5.76513964311572,"1999-2011","manuf"
"20003",5503,4017,-0.314758042700475,6.04578267918758,"1999-2011","manuf"
"20100",52008,31197,-0.511075616555964,26.8785927724634,"1999-2011","manuf"
"20200",26865,18609,-0.367178989521694,17.4734876503177,"1999-2011","manuf"
"20301",7964,4418,-0.589244281204024,12.3196283806292,"1999-2011","manuf"
"20302",21644,16404,-0.277203072250677,17.6131537351822,"1999-2011","manuf"
"20401",124845,70269,-0.574742233587287,21.9949281413283,"1999-2011","manuf"
"20402",140,100,-0.336472236621212,14.5301168059279,"1999-2011","manuf"
"20403",160,240,0.405465108108165,8.86961318533683,"1999-2011","manuf"
"20500",311934,167242,-0.623349761692154,29.3336044808203,"1999-2011","manuf"
"20600",91449,64230,-0.353311048570262,25.9155877700492,"1999-2011","manuf"
"20700",10333,7501,-0.320306312244718,13.9526150801032,"1999-2011","manuf"
"20800",44975,28508,-0.455922030196973,14.9393200659718,"1999-2011","manuf"
"20901",243476,160972,-0.413787938220334,12.9579559298963,"1999-2011","manuf"
"20902",12817,8344,-0.429229697049216,9.58509510786957,"1999-2011","manuf"
"2100",11241,7010,-0.472230107433163,7.14021066782023,"1999-2011","manuf"
"21001",4189,3274,-0.246449563015956,10.0421309220932,"1999-2011","manuf"
"21002",2091,1476,-0.348306694268215,12.7743261216544,"1999-2011","manuf"
"21003",1710,1220,-0.337642511769403,16.7686969175659,"1999-2011","manuf"
"21004",3736,2400,-0.442546783012697,6.49549471683743,"1999-2011","manuf"
"21101",11552,9297,-0.21716681467675,7.12713073512023,"1999-2011","manuf"
"21102",5749,4584,-0.226453947228716,10.3012517208689,"1999-2011","manuf"
"21201",11948,8991,-0.284339823351228,93.9824105542573,"1999-2011","manuf"
"21202",2952,1975,-0.401914508385141,21.287063521852,"1999-2011","manuf"
"21301",18912,14251,-0.282969561532614,11.4572691602093,"1999-2011","manuf"
"21302",17149,12704,-0.30002295836923,16.0708549934143,"1999-2011","manuf"
"21400",22797,21106,-0.0770715881068593,13.5279187549013,"1999-2011","manuf"
"21501",232356,170646,-0.308679443020305,18.8489917636298,"1999-2011","manuf"
"21502",1330,1160,-0.136758937115389,8.83943553726384,"1999-2011","manuf"
"21600",7678,4871,-0.455059841754201,9.97283805832297,"1999-2011","manuf"
"21701",24030,16728,-0.362219087622044,103.050504478167,"1999-2011","manuf"
"21702",6808,7434,0.0879656806039879,5.03518455251845,"1999-2011","manuf"
"21801",11759,7441,-0.457613656426155,8.41217508501333,"1999-2011","manuf"
"21802",8079,6481,-0.220393283051992,5.89852411630071,"1999-2011","manuf"
"21900",14406,11500,-0.225297751097967,27.9073646319052,"1999-2011","manuf"
"2200",14906,5844,-0.93634832257105,11.6089678932208,"1999-2011","manuf"
"22001",19780,20123,0.0171921132896653,13.9969298424102,"1999-2011","manuf"
"22002",3110,1437,-0.772065119094255,12.8321359646297,"1999-2011","manuf"
"22100",17887,15651,-0.133539379302743,10.3786551980822,"1999-2011","manuf"
"22200",28737,21893,-0.272018540043666,24.3178547504024,"1999-2011","manuf"
"22300",18725,15554,-0.185541689130531,9.73658086584266,"1999-2011","manuf"
"22400",37657,26648,-0.345804759047757,11.898873387545,"1999-2011","manuf"
"22500",81223,64688,-0.227622745392686,9.98258227718663,"1999-2011","manuf"
"22601",37867,31469,-0.185077086120543,7.26942460044548,"1999-2011","manuf"
"22602",4789,3886,-0.208941270405225,13.0274548204767,"1999-2011","manuf"
"22700",45075,34885,-0.256270831698181,8.27373946805156,"1999-2011","manuf"
"22800",31427,27671,-0.127282462677146,59.9249205901359,"1999-2011","manuf"
"22900",21149,14674,-0.36551540275881,18.0261264933039,"1999-2011","manuf"
"2300",27005,18873,-0.358289704788852,20.7268538226188,"1999-2011","manuf"
"23000",10651,8586,-0.21552081465866,31.3102840700019,"1999-2011","manuf"
"23100",44624,37868,-0.164165402618488,11.8426855029613,"1999-2011","manuf"
"23200",20002,13503,-0.392920385575419,10.0404296466223,"1999-2011","manuf"
"23301",12005,6768,-0.573117607369294,14.4916824316282,"1999-2011","manuf"
"23302",14055,9760,-0.364685803933494,10.7722356796311,"1999-2011","manuf"
"23400",14938,9589,-0.443291693763332,11.1486436987622,"1999-2011","manuf"
"23500",27404,21561,-0.239802860986238,14.0541758802922,"1999-2011","manuf"
"23600",20748,12333,-0.520171259905304,15.5526583139626,"1999-2011","manuf"
"23700",9397,5415,-0.551217608947974,24.3524295234487,"1999-2011","manuf"
"23801",28974,25060,-0.145125926651538,13.20953654771,"1999-2011","manuf"
"23802",6880,5564,-0.212301377884055,9.09464268082441,"1999-2011","manuf"
"23900",37292,28418,-0.271756079218562,12.7405204277563,"1999-2011","manuf"
"2400",61047,31919,-0.648442615530097,10.4505339020803,"1999-2011","manuf"
"24000",63432,39544,-0.472554489965439,13.1625620565941,"1999-2011","manuf"
"24100",193730,133219,-0.374471046522418,13.0437651150653,"1999-2011","manuf"
"24200",9109,6352,-0.360493211817838,6.83239194455182,"1999-2011","manuf"
"24300",582749,348146,-0.515134629890714,20.6023261322238,"1999-2011","manuf"
"24400",81878,49438,-0.504510975248763,11.4834869405014,"1999-2011","manuf"
"24500",4734,2587,-0.6042716078879,20.8746216614193,"1999-2011","manuf"
"24600",12204,8693,-0.339245662757497,21.1638411081498,"1999-2011","manuf"
"24701",169360,91852,-0.611848040769987,9.71696689339072,"1999-2011","manuf"
"24702",4091,2519,-0.484927441576787,14.4646106907825,"1999-2011","manuf"
"24801",6183,4754,-0.262817221638429,3.4438082568826,"1999-2011","manuf"
"24802",9237,5606,-0.499379704867877,15.0584556799899,"1999-2011","manuf"
"24900",20461,17260,-0.170128949529142,10.2620574219848,"1999-2011","manuf"
"2500",42814,33280,-0.251908535952023,24.5819209186814,"1999-2011","manuf"
"25000",12992,8949,-0.3727919892186,25.5400939393474,"1999-2011","manuf"
"25101",5820,3896,-0.401349875963058,19.7121083082296,"1999-2011","manuf"
"25102",7360,4883,-0.410300147661262,21.3229614073184,"1999-2011","manuf"
"25103",7792,6995,-0.10790195822279,7.13434646409843,"1999-2011","manuf"
"25104",4095,1729,-0.862223510603878,18.4033172678213,"1999-2011","manuf"
"25105",5446,4575,-0.174274695524083,11.266288391484,"1999-2011","manuf"
"25200",14922,10236,-0.37692571575178,7.28955270244005,"1999-2011","manuf"
"25300",16767,9484,-0.569806500752511,14.6426630638804,"1999-2011","manuf"
"25401",10003,8804,-0.127678884338827,21.7576234896226,"1999-2011","manuf"
"25402",3145,3604,0.136230449593688,20.8102793223637,"1999-2011","manuf"
"25500",12318,10659,-0.144657001557851,11.1201606644326,"1999-2011","manuf"
"25601",12818,7955,-0.477049771292284,16.3208095300799,"1999-2011","manuf"
"25602",945,695,-0.307273081928951,22.2454905142657,"1999-2011","manuf"
"25701",18706,13410,-0.332843630718774,17.6334646344942,"1999-2011","manuf"
"25702",6905,4413,-0.447691056573845,14.9166357138087,"1999-2011","manuf"
"25800",10778,6800,-0.460584407329245,11.6790891779609,"1999-2011","manuf"
"25900",24508,14858,-0.500461154133793,19.5128912034686,"1999-2011","manuf"
"2600",10890,7040,-0.436236766774918,9.31672181616437,"1999-2011","manuf"
"26001",6025,6185,0.0262095264677331,6.46590047910871,"1999-2011","manuf"
"26002",10963,8485,-0.256226068006212,10.9810082391578,"1999-2011","manuf"
"26003",80,90,0.117783035656384,9.99168787899645,"1999-2011","manuf"
"26004",1991,1049,-0.640799695667899,1.85683550150296,"1999-2011","manuf"
