"zone","L_r0_filt","L_r1_filt","delta_lnL","IPW","IPW_OC"
"Alsace",172700,160600,-0.0726391836399713,0.354165162908692,-0.20533890415391
"Aquitaine",144900,151200,0.0425596144187956,0.184146429774824,-0.106764950519895
"Auvergne",95500,102900,0.07463139535332,0.295513530417334,-0.17133369075657
"Basse-Normandie",90800,111200,0.202671096209235,0.260652968921888,-0.151122133423049
"Bourgogne",104400,106200,0.0170944333593006,0.268389899649572,-0.155607873533934
"Bretagne",192000,210300,0.0910397106808727,0.246048431998937,-0.142654672697085
"Centre — Val de Loire",174900,163700,-0.0661788976474682,0.286237681081577,-0.165955711956911
"Champagne-Ardenne",97300,83600,-0.151755469101303,0.320543029509182,-0.185845366249528
"Corse",10900,9000,-0.191538211898878,0.264332514688542,-0.153255471127141
"Franche-Comté",128400,124000,-0.0348688256508236,0.451264095178791,-0.261635204397299
"Haute-Normandie",148400,121700,-0.198352330739798,0.340150502867274,-0.197213443955171
"Ile de France",470500,391200,-0.184577020864772,0.150468154971278,-0.0872388627896427
"Languedoc-Roussillon",86000,88800,0.0320393537446169,0.155067788691818,-0.0899056517530975
"Limousin",40600,34900,-0.151281237399305,0.242319339184876,-0.140492608462312
"Lorraine",158800,145900,-0.0847240932842954,0.287306907966013,-0.166575631417478
"Midi-Pyrénées",164800,195900,0.172871707475123,0.225673778846421,-0.130841797267742
"Nord-Pas de Calais",253400,227200,-0.109138581040042,0.278802792818452,-0.161645090901134
"Pays de la Loire",284500,283900,-0.00211119008745975,0.312064140310878,-0.180929451307123
"Picardie",129600,102500,-0.234589985339712,0.285793516709835,-0.165698193050735
"Poitou-Charentes",129600,116500,-0.106561510912419,0.302859437758589,-0.175592722195692
"Provence-Alpes-Côte d’Azur",191700,173000,-0.10264005555382,0.165009471871239,-0.0956696696275319
"Rhône-Alpes",446700,482100,0.0762643330535031,0.27939422809876,-0.161987994961315
