"zone","L_r0_filt","L_r1_filt","delta_lnL","IPW","IPW_OC"
"Alsace",834300,830000,-0.00516734911738581,0.592641845868775,2.69319021256284
"Aquitaine",1296200,1291700,-0.00347772675564428,0.436168608931939,2.03452808206293
"Auvergne",532600,531600,-0.00187934654074162,0.548304697345194,2.53304313072684
"Basse-Normandie",620100,550100,-0.11978067547442,0.529031221844764,2.45808933199479
"Bourgogne",654700,646500,-0.0126039172351344,0.600224192650079,2.77340841904731
"Bretagne",1287500,1285600,-0.00147681811458789,0.443360523220207,2.07084950944876
"Centre — Val de Loire",1044700,1021200,-0.0227513564761335,0.517349787426624,2.38532946445684
"Champagne-Ardenne",535700,512500,-0.0442735918743526,0.579628115286587,2.72229510668517
"Corse",71000,79100,0.108032997732293,0.00182317475171178,0.00576885973918388
"Franche-Comté",460700,463100,0.00519594154483549,0.768432569178594,3.51044053828312
"Haute-Normandie",737400,739500,0.00284379635081144,0.60482902241002,2.7572304655273
"Ile de France",5226500,5116000,-0.0213689542740276,0.306678999412788,1.38630250920329
"Languedoc-Roussillon",929600,952200,0.0240207106627714,0.26306696280156,1.22868069673458
"Limousin",300100,289500,-0.0359604554332726,0.444607781527786,2.09100070672444
"Lorraine",944300,940000,-0.00456403700497354,0.660020650874236,3.0028901606592
"Midi-Pyrénées",1207500,1214400,0.0056980211146378,0.434955858997105,2.01785390034688
"Nord-Pas de Calais",1387800,1500700,0.0782119064364952,0.531603028486468,2.42141018423848
"Pays de la Loire",1444800,1464000,0.0132015118585365,0.62388568247024,2.87537459700546
"Picardie",797600,773100,-0.0311988123212004,0.619524548938393,2.81249651270402
"Poitou-Charentes",712800,701200,-0.0164077231095199,0.527969265709337,2.45215512405864
"Provence-Alpes-Côte d’Azur",1882900,1904600,0.0114588712575632,0.288989942829113,1.33447755115008
"Rhône-Alpes",2558800,2603200,0.017203058888791,0.578815845245323,2.63050066417497
