"zone","L_r0_filt","L_r1_filt","delta_lnL","IPW","IPW_OC"
"Alsace",168400,173700,0.0309875714388319,0.590797966807062,2.66942266045587
"Aquitaine",191400,156100,-0.203868651497467,0.432204281515496,1.95284338783158
"Auvergne",99100,94700,-0.0454154411439109,0.544617560934179,2.46076415309445
"Basse-Normandie",111200,93000,-0.178730888663226,0.524882634249026,2.37159515886028
"Bourgogne",133400,97800,-0.31042755644075,0.596393136949558,2.69470350908202
"Bretagne",193200,205500,0.0617201121578717,0.439216890363757,1.98452869824257
"Centre — Val de Loire",183500,176000,-0.0417306724564721,0.514118962371647,2.32296129206742
"Champagne-Ardenne",105100,106500,0.0132327072665746,0.574248961041712,2.59464872168152
"Franche-Comté",120500,124900,0.0358636642008232,0.765575423239414,3.45912561975824
"Haute-Normandie",151800,146300,-0.0369045569354505,0.602542641111309,2.72248902406722
"Ile de France",545000,496200,-0.0938067234055442,0.305214172476582,1.37905963472509
"Languedoc-Roussillon",82500,95400,0.145280285113605,0.259762814976216,1.17369521156082
"Limousin",45100,46200,0.0240975515790609,0.439875420409975,1.98750415707407
"Lorraine",212200,179900,-0.165128085223396,0.65774043067414,2.97189108457603
"Midi-Pyrénées",178000,158300,-0.117291583405118,0.431471397490297,1.94953197287373
"Nord-Pas de Calais",250900,255100,0.0166011717753882,0.529167211780532,2.39095431206606
"Pays de la Loire",306200,276800,-0.100943259480069,0.620321168662866,2.80281835318146
"Picardie",168300,142800,-0.164303051291277,0.61761540385639,2.79059280351123
"Poitou-Charentes",127600,119600,-0.0647475293941575,0.52396482388738,2.36744818491143
"Provence-Alpes-Côte d’Azur",184200,181400,-0.0153175861401706,0.286339669195701,1.29377832098745
"Rhône-Alpes",504300,455900,-0.100897841863285,0.576861791777365,2.60645436416094
