"cz","L_manuf_t0","L_manuf_t1","d_ln_L","IPW","period","sample"
"100",50390,16050,-1.14408389311648,4.69770704946492,"2012-2019","manuf"
"10000",3804,1465,-0.954197902214113,3.39761378770789,"2012-2019","manuf"
"1001",2057,323,-1.8513515664303,-2.27026434000239,"2012-2019","manuf"
"1002",13889,7750,-0.583404316568826,8.02645249472662,"2012-2019","manuf"
"10101",1505,338,-1.49350228169996,-1.09734258118252,"2012-2019","manuf"
"10102",4132,1458,-1.04169591767092,3.70341630587693,"2012-2019","manuf"
"10200",8537,1844,-1.53247253289377,0.83897206438852,"2012-2019","manuf"
"10301",5485,395,-2.63088660780821,3.53812365785687,"2012-2019","manuf"
"10302",9494,5907,-0.474521931804029,0.89663155647239,"2012-2019","manuf"
"10400",5963,595,-2.30476758357748,-23.1888630088401,"2012-2019","manuf"
"10501",5348,1784,-1.09786462508188,-1.13408467043683,"2012-2019","manuf"
"10502",4378,675,-1.86963458721028,-15.3632592216389,"2012-2019","manuf"
"10600",9057,5737,-0.456601513773077,3.14198901116559,"2012-2019","manuf"
"10700",41633,33659,-0.212612642558142,1.92394118132587,"2012-2019","manuf"
"10801",18694,10362,-0.590057348367797,4.48492574030708,"2012-2019","manuf"
"10802",4105,231,-2.87754331136474,0.777757464416538,"2012-2019","manuf"
"10900",7285,4751,-0.427462317442385,2.45768211715641,"2012-2019","manuf"
"1100",43081,39497,-0.0868573449907597,6.89847147110864,"2012-2019","manuf"
"11001",26165,18730,-0.334296123368174,1.88682053524176,"2012-2019","manuf"
"11002",2980,1345,-0.795529287463511,1.33659569564141,"2012-2019","manuf"
"11101",20674,8101,-0.936889361297938,4.102012875616,"2012-2019","manuf"
"11102",5777,629,-2.21750853908082,-1.71918797361153,"2012-2019","manuf"
"11201",7111,3072,-0.839314065615955,7.90703046987957,"2012-2019","manuf"
"11202",212,18,-2.46621451677585,2.95494164471474,"2012-2019","manuf"
"11301",3249,925,-1.25630879815668,1.15431588086758,"2012-2019","manuf"
"11302",59490,40664,-0.380465051055213,0.481261529290082,"2012-2019","manuf"
"11303",1984,537,-1.30687219333595,0.977643891097804,"2012-2019","manuf"
"11304",52351,32012,-0.491860206826054,5.47659361533716,"2012-2019","manuf"
"11401",5096,530,-2.26333419070583,1.55776116039589,"2012-2019","manuf"
"11402",11693,3195,-1.29740328432868,2.92525798050011,"2012-2019","manuf"
"11403",958,56,-2.83949608723571,1.23540489670728,"2012-2019","manuf"
"11500",16964,15236,-0.107432402995988,3.71278856697652,"2012-2019","manuf"
"11600",218564,264354,0.190210236195997,4.21743069318837,"2012-2019","manuf"
"11700",18883,13202,-0.357893713132862,4.37569637664629,"2012-2019","manuf"
"11800",6473,3413,-0.640048009638804,9.03476692252456,"2012-2019","manuf"
"11900",25429,20552,-0.212931995219748,3.97033493669974,"2012-2019","manuf"
"12001",9906,4835,-0.71725950526079,-18.8884662721735,"2012-2019","manuf"
"12002",3009,926,-1.17848884198387,0.233010281500815,"2012-2019","manuf"
"1201",1332,103,-2.5597078628707,4.84041397528958,"2012-2019","manuf"
"1202",1145,14,-4.40410258637308,6.13364588365982,"2012-2019","manuf"
"1203",20441,14834,-0.320620844503473,10.3781426610588,"2012-2019","manuf"
"1204",1875,96,-2.97201574693668,10.8624525627189,"2012-2019","manuf"
"12100",33507,33847,0.0100959969114758,7.42604291728232,"2012-2019","manuf"
"12200",118403,134841,0.130002246568589,4.22004732382631,"2012-2019","manuf"
"12301",6474,5440,-0.1740150946362,2.85148350390051,"2012-2019","manuf"
"12302",4020,790,-1.627004236152,3.40057819313829,"2012-2019","manuf"
"12401",2974,1759,-0.525162382282542,1.18070466238463,"2012-2019","manuf"
"12402",3608,560,-1.86297209745332,2.18504468931886,"2012-2019","manuf"
"12501",74263,62967,-0.165002066900859,-5.50635501796411,"2012-2019","manuf"
"12502",7029,1282,-1.70162308969529,4.71599791899258,"2012-2019","manuf"
"12600",7015,3630,-0.658818065277664,6.15871639249643,"2012-2019","manuf"
"12701",102000,90109,-0.123952764646345,3.91538291264415,"2012-2019","manuf"
"12702",2638,82,-3.47105708601301,1.35004878322005,"2012-2019","manuf"
"12800",9070,2067,-1.47887398342741,7.39323450156566,"2012-2019","manuf"
"12901",33329,15126,-0.790012771435411,5.328297825856,"2012-2019","manuf"
"12902",4524,469,-2.26654906878973,0.29870842955499,"2012-2019","manuf"
"12903",5210,1678,-1.13297724772026,1.99146839441464,"2012-2019","manuf"
"13000",7981,5102,-0.447431097174251,1.86297281253196,"2012-2019","manuf"
"1301",6935,3845,-0.589807450809188,2.75683971435335,"2012-2019","manuf"
"1302",22670,9264,-0.894906543688798,2.30684855571679,"2012-2019","manuf"
"13101",61212,50262,-0.197093924329062,4.48423225594616,"2012-2019","manuf"
"13102",4866,2074,-0.852793134553995,0.559012541370775,"2012-2019","manuf"
"13103",7586,9101,0.182079854328512,4.30528076878293,"2012-2019","manuf"
"13200",13062,4309,-1.10900139284676,1.4866665899912,"2012-2019","manuf"
"13300",26224,16761,-0.447620262856352,21.1198879397271,"2012-2019","manuf"
"13400",27025,20603,-0.27132566726495,5.14236448148857,"2012-2019","manuf"
"13501",51249,40805,-0.227891482711824,3.48817271416233,"2012-2019","manuf"
"13502",10729,6638,-0.480139642356827,4.4667127456461,"2012-2019","manuf"
"13600",40546,33419,-0.193312531528706,3.35230011740868,"2012-2019","manuf"
"13700",73962,96318,0.264103769427896,5.96046986359159,"2012-2019","manuf"
"13800",18972,12597,-0.409505517645169,3.60086034204419,"2012-2019","manuf"
"13900",18254,10436,-0.559122866820204,4.66747767647791,"2012-2019","manuf"
"1400",26970,14602,-0.613566631517745,2.97920672626476,"2012-2019","manuf"
"14000",17869,7077,-0.926217278802877,4.23362457322736,"2012-2019","manuf"
"14100",56283,40917,-0.318846911116736,3.68791932233686,"2012-2019","manuf"
"14200",69588,56321,-0.211524671308331,2.15971267989813,"2012-2019","manuf"
"14300",19691,19228,-0.0237941285313195,6.30279461443142,"2012-2019","manuf"
"14400",21565,8071,-0.982794239757572,15.7984639593292,"2012-2019","manuf"
"14500",34291,12281,-1.02682957644264,3.64451185036846,"2012-2019","manuf"
"14600",17099,11481,-0.398326487154781,6.99244597748328,"2012-2019","manuf"
"14700",38678,21701,-0.57791262050617,2.87220275710523,"2012-2019","manuf"
"14801",3806,143,-3.28148941759619,5.50517734624604,"2012-2019","manuf"
"14802",2465,31,-4.37595988199164,6.21818873399677,"2012-2019","manuf"
"14900",41219,28604,-0.365352746913954,-3.15357075300902,"2012-2019","manuf"
"1500",20967,4021,-1.65141914524796,1.1555034613621,"2012-2019","manuf"
"15000",51969,48136,-0.0766170490468632,-0.43110673144661,"2012-2019","manuf"
"15100",27439,21287,-0.253868801294388,4.95040545064337,"2012-2019","manuf"
"15200",145269,141088,-0.0292033869518349,4.44066591220632,"2012-2019","manuf"
"15300",12071,4821,-0.917824506295506,1.5869051808484,"2012-2019","manuf"
"15400",7957,1841,-1.46374314214446,2.83952118626299,"2012-2019","manuf"
"15500",7265,1871,-1.35659524973029,0.35242698694569,"2012-2019","manuf"
"15600",5667,1015,-1.71977126469373,-6.25843075857074,"2012-2019","manuf"
"15700",12297,2737,-1.50249290013177,0.817172529243622,"2012-2019","manuf"
"15800",2333,122,-2.95088922728817,4.98128468178863,"2012-2019","manuf"
"15900",66676,51215,-0.263812610192344,4.46526588649329,"2012-2019","manuf"
"1600",18132,4724,-1.34502243474349,2.48967702885071,"2012-2019","manuf"
"16000",25060,14220,-0.566623525092828,17.3941518827052,"2012-2019","manuf"
"16100",14118,7203,-0.672952973066055,2.5103697550468,"2012-2019","manuf"
"16200",18716,9317,-0.697538084535681,-12.3253307846648,"2012-2019","manuf"
"16300",102614,80497,-0.242754459020288,2.34623181195235,"2012-2019","manuf"
"16400",41619,31515,-0.278093170801624,4.2441094246683,"2012-2019","manuf"
"16500",53832,35837,-0.406887206639919,2.82025472051699,"2012-2019","manuf"
