CZ;naics;emp
11101;3116;10
11101;3132;175
11101;3133;10
11101;3149;60
11101;3221;750
11101;3222;60
11101;3231;10
11101;3255;10
11101;3261;245
11101;3273;60
11101;3321;10
11101;3323;60
11101;3327;60
11101;3332;175
11101;3339;10
11101;3353;10
11101;3363;375
11101;3369;60
11101;3371;10
11101;3399;175
11001;3111;10
11001;3113;10
11001;3116;10
11001;3117;175
11001;3118;10
11001;3119;10
11001;3133;375
11001;3141;10
11001;3149;60
11001;3152;375
11001;3159;10
11001;3211;78
11001;3212;39
11001;3219;37
11001;3222;223
11001;3231;215
11001;3251;10
11001;3255;10
11001;3256;10
11001;3259;10
11001;3261;60
11001;3262;10
11001;3273;221
11001;3313;10
11001;3314;10
11001;3315;750
11001;3322;10
11001;3323;127
11001;3324;10
11001;3327;46
11001;3329;60
11001;3331;60
11001;3333;10
11001;3334;60
11001;3336;10
11001;3339;375
11001;3344;750
11001;3345;10
11001;3351;10
11001;3364;375
11001;3366;10
11001;3371;750
11001;3372;10
11001;3391;144
11001;3399;278
10301;3116;750
10301;3118;10
10301;3131;750
10301;3149;10
10301;3152;60
10301;3211;270
10301;3212;377
10301;3219;69
10301;3231;10
10301;3241;10
10301;3251;60
10301;3253;10
10301;3261;60
10301;3262;175
10301;3273;10
10301;3321;60
10301;3323;750
10301;3327;10
10301;3344;375
10301;3345;60
10301;3351;375
10301;3371;10
10301;3399;239
10801;3152;375
10801;3211;175
10801;3212;60
10801;3219;10
10801;3251;10
10801;3271;10
10801;3315;60
10801;3323;60
10801;3327;10
10801;3362;60
10801;3371;10
10700;3116;1750
10700;3149;10
10700;3152;750
10700;3211;10
10700;3219;60
10700;3259;60
10700;3261;60
10700;3273;60
10700;3274;60
10700;3315;10
10700;3321;60
10700;3323;32
10700;3327;41
10700;3329;60
10700;3332;10
10700;3334;60
10700;3351;60
10700;3353;10
10700;3359;10
10700;3362;10
10700;3363;10
10700;3371;60
10700;3372;10
10700;3391;60
10700;3399;10
9800;3116;1750
9800;3131;175
9800;3211;10
9800;3256;10
9800;3273;10
9800;3399;10
11101;3141;10
11101;3152;375
11101;3159;175
11101;3211;60
11101;3212;375
11101;3219;10
11101;3231;10
11101;3241;10
11101;3262;10
11101;3273;10
11101;3323;60
11101;3327;10
11101;3334;375
11101;3339;60
11101;3344;60
11101;3362;60
11101;3363;175
11101;3399;60
9600;3116;175
9600;3118;10
9600;3131;175
9600;3132;750
9600;3141;750
9600;3149;750
9600;3152;748
9600;3212;60
9600;3219;375
9600;3221;60
9600;3231;577
9600;3251;60
9600;3255;10
9600;3261;60
9600;3262;10
9600;3271;10
9600;3273;60
9600;3314;60
9600;3315;1750
9600;3321;10
9600;3322;175
9600;3323;333
9600;3325;175
9600;3326;10
9600;3327;93
9600;3328;135
9600;3329;1796
9600;3331;10
9600;3332;60
9600;3334;60
9600;3339;60
9600;3344;60
9600;3359;10
9600;3361;10
9600;3362;375
9600;3363;750
9600;3364;375
9600;3369;750
9600;3371;60
9600;3372;175
9600;3391;175
9600;3399;175
9600;3116;10
9600;3118;10
9600;3131;175
9600;3132;3750
9600;3133;175
9600;3149;375
9600;3152;375
9600;3211;175
9600;3219;60
9600;3222;175
9600;3231;10
9600;3261;175
9600;3262;60
9600;3273;10
9600;3279;375
9600;3323;10
9600;3326;10
9600;3327;175
9600;3329;60
9600;3339;10
9600;3372;10
6600;3111;60
6600;3114;10
6600;3131;375
6600;3132;10
6600;3151;175
6600;3152;375
6600;3212;10
6600;3219;10
6600;3222;10
6600;3231;10
6600;3273;10
6600;3326;10
6600;3327;10
6600;3362;10
6600;3371;11
6600;3391;60
10700;3116;10
10700;3152;10
10700;3211;175
10700;3212;175
10700;3219;10
10700;3222;175
10700;3231;10
10700;3261;10
10700;3273;21
10700;3315;60
10700;3323;82
10700;3327;10
10700;3328;10
10700;3329;10
10700;3332;10
10700;3359;60
10700;3363;10
10700;3369;10
10700;3371;269
10700;3391;60
10700;3399;10
10802;3152;175
10802;3211;175
10802;3221;1750
10802;3231;10
10802;3251;10
10802;3323;10
10802;3371;10
11001;3111;10
11001;3118;10
11001;3121;10
11001;3149;60
11001;3152;750
11001;3211;562
11001;3212;375
11001;3219;10
11001;3221;750
11001;3231;10
11001;3251;10
11001;3273;10
11001;3279;10
11001;3327;60
11001;3363;60
11001;3371;60
9500;3111;10
9500;3116;750
9500;3141;10
9500;3152;175
9500;3219;10
9500;3231;10
9500;3262;375
9500;3273;10
9500;3339;10
9500;3371;1750
9600;3116;375
9600;3152;375
9600;3211;10
9600;3219;10
9600;3222;10
9600;3251;10
9600;3273;60
9600;3327;10
9600;3333;10
9600;3359;175
10302;3111;60
10302;3112;60
10302;3116;1750
10302;3152;1052
10302;3219;10
10302;3231;60
10302;3241;10
10302;3251;10
10302;3261;10
10302;3273;10
10302;3315;175
10302;3323;60
10302;3325;60
10302;3327;10
10302;3332;10
10302;3339;10
10302;3342;10
10302;3345;175
10302;3362;1750
10302;3363;10
10302;3391;10
6200;3149;10
6200;3151;10
6200;3152;60
6200;3161;10
6200;3169;10
6200;3211;160
6200;3219;597
6200;3231;51
6200;3241;60
6200;3251;375
6200;3253;175
6200;3261;622
6200;3262;163
6200;3273;60
6200;3313;1750
6200;3314;10
6200;3315;10
6200;3321;10
