CZ;L_manuf
11101;20202
11001;34407
10301;6330
10801;21885
10700;60410
9800;10085
9600;54259
6600;76071
10802;5607
9500;19523
10302;18037
6200;23613
11002;7683
11102;7502
6100;42906
10600;20394
6000;57468
10501;9125
9701;28328
34101;1750
34114;3760
34102;3690
34112;235
34104;185
34107;130
34115;653
34109;298
34111;790
34108;1566
34106;10
34113;40
34110;595
34103;405
35500;2471
35100;30474
35401;7722
35001;153329
35002;335
38300;1000056
37901;23858
38100;4659
4301;4762
4101;3894
25101;5820
30300;34879
25103;7792
4102;14894
4103;10936
34001;21125
25900;24508
25104;4095
4001;3650
4200;37339
30100;35715
5300;7372
30000;15858
25102;7360
25105;5446
4302;7402
33500;18261
25800;10778
34002;8751
37800;189980
37400;83172
37300;9940
36901;1250
37200;48706
36700;5970
37903;455
37100;13818
37700;31950
36501;5007
37000;33899
37500;257591
37603;1184
38000;117098
38200;24579
36600;6916
28900;106027
34805;788
35300;3154
28501;80
28502;6057
28701;340
28504;130
28401;24415
35201;6782
35402;871
28702;1399
28703;80
35202;167
28503;230
28704;903
28800;27703
28402;70
28301;800
36401;564
28302;525
20901;243476
19901;30745
19800;28714
7900;7758
7600;38329
10000;4112
7300;23429
7000;96935
9900;7311
6900;22349
7800;10872
7200;8697
7700;8222
10900;13811
7500;16192
7100;34699
6800;21577
6700;80855
7400;50581
9001;11507
8601;13047
9002;8924
9400;33147
9301;16809
8501;4985
8503;22568
8900;23012
8602;4671
8800;18291
8702;9953
8401;57000
9200;14541
6401;46113
9100;162743
8502;4835
10101;3809
10200;11750
9302;12758
8701;5750
6501;3785
10102;5545
8402;3739
9003;6310
9702;7443
1201;4275
1204;6695
35600;1862
34701;11349
34702;578
34703;1983
35801;32017
35803;240
36301;14906
36403;820
38601;29519
35701;5976
34501;406
35702;3872
38401;5495
36302;180
36200;21026
38402;1060
35802;3727
36303;443
25000;12992
25601;12818
24900;20461
24400;81878
24801;6183
23900;37292
23500;27404
24802;9237
23301;12005
23302;14055
25500;12318
24300;582749
23400;14938
14801;4690
23700;9397
25602;945
23600;20748
23801;28974
24200;9109
23200;20002
14802;2026
25401;10003
24701;169360
14500;43676
14700;50732
14100;89409
14300;26096
14000;42927
14200;112103
13900;33411
13101;92186
14400;25061
14600;26155
12800;14664
13700;92929
12600;14556
13800;25406
14900;51345
13102;6846
13600;63036
27501;31430
28201;5593
26106;2058
27503;1865
22200;28737
22001;19780
27401;4994
27402;9299
27504;4286
22100;17887
21801;11759
21802;8079
27502;2880
27301;6061
23802;6880
22300;18725
27302;4682
22002;3110
28202;42494
21900;14406
27201;6646
28001;26004
27202;5469
29401;3974
29501;2943
29001;355
29004;2533
29901;27003
29201;1678
29301;67068
29402;7582
29303;4662
28606;30
29003;4575
29203;5199
29101;870
29002;80
28601;90
29503;9983
29204;13215
29006;1740
29005;6219
31001;5895
28604;220
29007;325
31002;325
29302;8195
29502;100220
29403;13791
29008;60
29104;8200
29202;1180
31004;4100
29103;595
31006;2280
28602;265
28603;700
31003;120
28605;100
4601;4879
5401;18307
12901;49785
5402;10961
12902;3655
301;4977
12701;146655
17100;18999
12903;11810
12702;5872
4501;885
13000;12286
13200;18357
25200;14922
25402;3145
5900;16215
4401;8216
4602;13289
4402;8908
17000;2436
25300;16767
4502;1460
13103;6151
3800;20171
3700;14520
3500;31990
3400;13645
3600;4955
4002;27647
3901;14707
3201;990
3202;2570
3902;315
4003;4274
3300;49716
3203;6337
4004;1225
20100;52008
20003;5503
20001;18921
20002;2068
20600;91449
17501;10408
11302;88419
11304;70043
19902;11239
17400;33357
20500;311934
20902;12817
20401;124845
20403;160
20800;44975
20402;140
12401;4663
11401;5771
12200;176489
12301;10923
11900;50446
21002;2091
12100;48480
12302;6664
11403;1218
11800;7048
11700;25417
12402;5118
11402;14793
11600;422537
21003;1710
11500;31362
12001;12991
12002;4588
13501;79223
21600;7678
21501;232356
26701;5082
21400;22797
26601;740
21301;18912
26002;10963
27101;7523
26801;11268
26003;80
21701;24030
26901;8088
21702;6808
22900;21149
21502;1330
26702;1920
26004;1991
26001;6025
27102;3542
21201;11948
26703;3070
26902;5308
26704;4437
21202;2952
21302;17149
22800;31427
5100;16539
3101;7823
3001;3760
5201;8558
4800;12032
5000;40013
4701;12698
10502;11372
10400;14438
4702;9000
3003;30600
2900;9420
5202;57193
2700;30307
3002;3871
2800;13596
3102;2962
26107;1905
29505;2261
24702;4091
29800;10501
29902;5220
29504;8945
25701;18706
29601;17096
25702;6905
29602;4007
26102;4121
26103;3260
29700;34448
24500;4734
29506;795
26104;1045
24600;12204
26101;5227
26105;1920
34401;110
34304;596
34201;150
34403;1353
34308;3930
26401;10
34203;1346
34305;180
26405;30
26409;100
34404;1171
26402;30
34204;390
34503;5718
34402;3908
34306;10
34202;270
34502;950
26406;150
34504;4753
26408;160
34307;100
26411;660
26407;60
34309;10
27901;4699
27801;5163
28304;90
28305;525
27802;8493
27701;2131
27001;241
27003;70
28608;5031
28002;1645
27005;3798
28607;657
27702;2687
28609;6665
27902;1563
28101;24513
27002;230
27903;8181
28102;2570
28306;428
29102;555
27704;50
37604;20238
37601;380
37602;445
37902;10
20700;10333
20301;7964
20302;21644
19700;267523
19600;317898
19500;18531
34901;26937
34902;190
30701;3963
34801;690
30901;2496
30702;10
30601;37128
30604;1430
34803;190
30801;1205
30602;857
34802;2476
30603;90
34804;40
18600;42007
18201;16015
19400;306153
17900;29172
17700;73371
16500;72398
18100;27924
17800;11624
18400;8439
19300;30403
18000;193031
18500;8497
18300;11221
500;146995
1100;82077
602;9703
900;117177
601;10392
1001;4043
2100;11241
2600;10890
1500;24788
1203;37220
1002;30730
2000;28214
1900;27286
1701;111907
800;65929
1400;58022
401;51618
1800;19055
1600;27451
1202;2119
700;49546
1702;6369
26404;245
26803;2475
26301;560
26304;1174
26403;70
26201;2531
26802;2260
26412;269
26410;1014
26302;495
26203;180
26202;70
26804;150
26204;20
26305;130
26303;590
13400;34333
16000;44266
15200;236984
15800;3966
15600;9430
15000;82782
12501;130434
12502;12507
16400;78406
13502;19972
15900;105235
15100;49580
15400;17362
13300;38137
15700;16390
15500;14338
15300;18918
30200;7859
30502;3018
33901;3191
33801;1779
33902;13670
33802;3600
33803;56591
33700;7829
33601;5545
30402;67632
30501;563
33602;1570
30401;5699
30403;1542
33603;495
39201;2651
38901;64326
38801;132787
38700;14716
36902;8663
39203;9464
39204;40
39205;215
36502;735
38802;3457
36800;11501
36503;495
38902;2732
39100;15996
39202;325
19200;93021
16300;135972
16200;29227
19100;124662
18900;24847
18202;10419
19000;45040
16100;22153
18800;60959
18700;19208
8300;112881
8201;8653
8202;25879
8100;47132
1301;9491
8000;22405
1302;43390
27006;2583
27007;1560
26501;5325
26605;2879
27009;40
27601;6864
26604;100
27008;866
26504;5035
26503;16054
26603;10
26602;900
27602;20
27004;160
27603;235
27010;60
27011;190
27604;10
26502;1525
27012;120
302;51526
5700;16156
5800;14576
6402;9585
6502;31949
5600;87762
100;66877
4901;26264
200;26503
4903;8636
6301;14354
4902;12785
5500;24547
6302;12745
33300;20523
31401;6177
32201;8527
31700;13251
32601;10035
30903;14714
31301;54784
32000;193415
30902;1045
31201;73405
32603;80
31302;715
32900;9994
32801;19520
31900;18237
31800;8236
31404;80
30906;160
32701;4555
31202;968
31101;13616
32501;6067
31600;25741
30904;2966
32502;20
30802;7478
32301;4591
33100;220084
30905;120
31102;2014
32702;2600
32302;1738
31403;160
30605;70
31007;2447
32401;1688
33200;15506
31501;495
32402;1100
30908;2870
32604;1330
32802;4406
31502;110
31303;2301
31103;838
33400;21366
31005;260
32100;27549
32503;60
33000;109306
32602;970
31503;1728
32303;325
31304;50
32306;1238
30907;70
32202;7095
32304;1090
31402;870
32403;567
32305;465
35901;4527
35902;1300
36100;85922
36402;460
35904;870
35903;90
36000;17686
36404;2454
35905;80
20200;26865
19903;4955
17600;13649
17300;18405
2400;61047
2300;27005
11201;9007
16600;47327
2200;14906
11301;5558
17502;13642
11203;1569
11303;3485
2500;42814
402;19882
17200;23267
38501;6176
38502;3286
39303;2594
38602;2540
39400;243380
39000;10393
39301;230
39302;9746
16701;2849
16901;9318
16802;1952
16902;1125
16702;7422
16801;3551
16703;1846
11202;243
22700;45075
21001;4189
21101;11552
22601;37867
21102;5749
22500;81223
23100;44624
23000;10651
24100;193730
21004;3736
24000;63432
22602;4789
22400;37657
34301;1099
34601;705
34602;365
34603;2067
34303;693
27703;485
34302;405
34604;20
